word,ipa,cv,cv_2,freq
থাকবে,t̪ʰ a k . b e,cvc.cv,cvc.cv,13
কয়েক,k ɔ ʲ . e k,cvc.vc,cvc.vc,13
এবার,e . b a r,v.cvc,v.cvc,13
দেখতে,d̪ e kʰ . t̪ e,cvc.cv,cvc.cv,12
ভাবতে,bʰ a b . t̪ e,cvc.cv,cvc.cv,12
শুনে,ʃ u . n e,cv.cv,cv.cv,12
করবেন,k o r . b e n,cvc.cvc,cvc.cvc,12
দেওয়া,d̪ e o̯ . ʷ a,cvv.cv,cv.cv,12
তাহলে,t̪ a . h o . l e,cv.cv.cv,cv.cv.cv,12
আপনি,a p . n i,vc.cv,vc.cv,12
মনের,m o . n e r,cv.cvc,cv.cvc,12
কত,k ɔ . t̪ o,cv.cv,cv.cv,12
আজকে,a ɟ . k e,vc.cv,vc.cv,12
বিভিন্ন,b i . bʰ i n . n o,cv.cvc.cv,cv.cvc.cv,12
বলল,b o l . l o,cvc.cv,cvc.cv,11
নিতে,n i . t̪ e,cv.cv,cv.cv,11
ওর,o r,vc,vc,11
কোথাও,k o . t̪ʰ a . o,cv.cv.v,cv.cv.v,11
ঘরে,gʰ ɔ . r e,cv.cv,cv.cv,11
দিকে,d̪ i . k e,cv.cv,cv.cv,11
পাওয়া,p a o̯ . ʷ a,cvv.cv,cv.cv,11
সবাই,ʃ ɔ . b a i̯,cv.cvv,cv.cv,11
থাকতে,t̪ʰ a k . t̪ e,cvc.cv,cvc.cv,11
করল,k o r . l o,cvc.cv,cvc.cv,11
নতুন,n o . t̪ u n,cv.cvc,cv.cvc,11
মাথা,m a . t̪ʰ a,cv.cv,cv.cv,10
যাচ্ছে,ɟ a c . cʰ e,cvc.cv,cvc.cv,10
উঠল,u tʰ . l o,vc.cv,vc.cv,10
সুন্দর,ʃ u n . d̪ ɔ r,cvc.cvc,cvc.cvc,10
হাত,h a t̪,cvc,cvc,10
মাঝে,m a . ɟʰ e,cv.cv,cv.cv,10
খারাপ,kʰ a . r a p,cv.cvc,cv.cvc,10
পরে,p ɔ . r e,cv.cv,cv.cv,10
বেরিয়ে,b e . r i . ʲ e,cv.cv.cv,cv.cv.cv,10
ভিতর,bʰ i . t̪ ɔ r,cv.cvc,cv.cvc,10
হাতে,h a . t̪ e,cv.cv,cv.cv,10
তিন,t̪ i n,cvc,cvc,10
ফোন,pʰ o n,cvc,cvc,10
দাঁড়িয়ে,d̪ ã . ɽ i . ʲ e,cv.cv.cv,cv.cv.cv,10
কেন,k e n,cvc,cvc,10
বৃষ্টি,b r i ʃ . t i,ccvc.cv,ccvc.cv,10
মুখে,m u . kʰ e,cv.cv,cv.cv,10
সবসময়,ʃ ɔ b . ʃ o . m ɔ ʲ,cvc.cv.cvc,cvc.cv.cvc,10
আপনাদের,a p . n a . d̪ e r,vc.cv.cvc,vc.cv.cvc,10
মাছ,m a cʰ,cvc,cvc,10
দিল,d̪ i . l o,cv.cv,cv.cv,10
একটি,e k . t i,vc.cv,vc.cv,10
এরপর,e r . p ɔ r,vc.cvc,vc.cvc,10
একাই,æ . k a i̯,v.cvv,v.cv,10
নারিকেল,n a . r i . k e l,cv.cv.cvc,cv.cv.cvc,10
গাছ,g a cʰ,cvc,cvc,10
দেখল,d̪ e kʰ . l o,cvc.cv,cvc.cv,10
শাশুড়ির,ʃ a . ʃ u . ɽ i r,cv.cv.cvc,cv.cv.cvc,10
অর্থ,ɔ r t̪ . t̪ʰ o,vcc.cv,vcc.cv,10
শব্দের,ʃ ɔ b . d̪ e r,cvc.cvc,cvc.cvc,10
মেনে,m e . n e,cv.cv,cv.cv,9
পুরো,p u . r o,cv.cv,cv.cv,9
তাকিয়ে,t̪ a . k i . ʲ e,cv.cv.cv,cv.cv.cv,9
আসতে,a ʃ . t̪ e,vc.cv,vc.cv,9
পাঁচ,p ã c,cvc,cvc,9
ফিরে,pʰ i . r e,cv.cv,cv.cv,9
বললেন,b o l . l e n,cvc.cvc,cvc.cvc,9
ভেবে,bʰ e . b e,cv.cv,cv.cv,9
তবে,t̪ ɔ . b e,cv.cv,cv.cv,9
একজন,æ k . ɟ o n,vc.cvc,vc.cvc,9
বলেন,b ɔ . l e n,cv.cvc,cv.cvc,9
কীভাবে,k i . bʰ a . b e,cv.cv.cv,cv.cv.cv,9
মানুষের,m a . n u . ʃ e r,cv.cv.cvc,cv.cv.cvc,9
দেশের,d̪ e . ʃ e r,cv.cvc,cv.cvc,9
পর্যন্ত,p ɔ r . ɟ o n . t̪ o,cvc.cvc.cv,cvc.cvc.cv,9
গেলে,g e . l e,cv.cv,cv.cv,9
সামনে,ʃ a m . n e,cvc.cv,cvc.cv,9
করব,k o r . b o,cvc.cv,cvc.cv,9
পরের,p ɔ . r e r,cv.cvc,cv.cvc,9
ভেঙে,bʰ e . ŋ e,cv.cv,cv.cv,9
চাচা,c a . c a,cv.cv,cv.cv,9
সকালে,ʃ ɔ . k a . l e,cv.cv.cv,cv.cv.cv,9
করেছে,k o . r e . cʰ e,cv.cv.cv,cv.cv.cv,9
মানে,m a . n e,cv.cv,cv.cv,9
দেখলাম,d̪ e kʰ . l a m,cvc.cvc,cvc.cvc,9
হারিয়ে,h a . r i . ʲ e,cv.cv.cv,cv.cv.cv,9
হচ্ছে,h o c . cʰ e,cvc.cv,cvc.cv,9
বিয়ের,b i . ʲ e r,cv.cvc,cv.cvc,9
করো,k ɔ . r o,cv.cv,cv.cv,9
চোখ,c o kʰ,cvc,cvc,9
হোন,h o n,cvc,cvc,9
বোঝায়,b o . ɟʰ a ʲ,cv.cvc,cv.cvc,9
চা,c a,cv,cv,8
তুই,t̪ u i̯,cvv,cv,8
মাথায়,m a . t̪ʰ a ʲ,cv.cvc,cv.cvc,8
পাশে,p a . ʃ e,cv.cv,cv.cv,8
হয়তো,h ɔ ʲ . t̪ o,cvc.cv,cvc.cv,8
মাত্র,m a t̪ . t̪ r o,cvc.ccv,cvc.ccv,8
সাত,ʃ a t̪,cvc,cvc,8
হওয়ার,h ɔ o̯ . ʷ a r,cvv.cvc,cv.cvc,8
চেষ্টা,c e ʃ . t a,cvc.cv,cvc.cv,8
মিষ্টি,m i ʃ . t i,cvc.cv,cvc.cv,8
জানান,ɟ a . n a n,cv.cvc,cv.cvc,8
এরা,e . r a,v.cv,v.cv,8
কখনো,k ɔ . kʰ o . n o,cv.cv.cv,cv.cv.cv,8
সাধারণ,ʃ a . d̪ʰ a . r ɔ n,cv.cv.cvc,cv.cv.cvc,8
বাড়িতে,b a . ɽ i . t̪ e,cv.cv.cv,cv.cv.cv,8
ঠিক,tʰ i k,cvc,cvc,8
করবে,k o r . b e,cvc.cv,cvc.cv,8
কেবল,k e . b o l,cv.cvc,cv.cvc,8
অবস্থা,ɔ . b o s . t̪ʰ a,v.cvc.cv,v.cvc.cv,8
মুখ,m u kʰ,cvc,cvc,8
গেলাম,g e . l a m,cv.cvc,cv.cvc,8
কারণ,k a . r o n,cv.cvc,cv.cvc,8
দেশে,d̪ e . ʃ e,cv.cv,cv.cv,8
পেয়ে,p e . ʲ e,cv.cv,cv.cv,8
এগুলো,e . g u . l o,v.cv.cv,v.cv.cv,8
সমুদ্রের,ʃ o . m u d̪ . d̪ r e r,cv.cvc.ccvc,cv.cvc.ccvc,8
বাজারে,b a . ɟ a . r e,cv.cv.cv,cv.cv.cv,8
দেখান,d̪ æ . kʰ a n,cv.cvc,cv.cvc,8
ভাইয়া,bʰ a i̯ . ʲ a,cvv.cv,cv.cv,7
মেলে,m e . l e,cv.cv,cv.cv,7
ছেড়ে,cʰ e . ɽ e,cv.cv,cv.cv,7
মন,m o n,cvc,cvc,7
মাস,m a ʃ,cvc,cvc,7
থেকেই,t̪ʰ e . k e . i,cv.cv.v,cv.cv.v,7
বুঝলাম,b u ɟʰ . l a m,cvc.cvc,cvc.cvc,7
সবচেয়ে,ʃ ɔ b . c e . ʲ e,cvc.cv.cv,cvc.cv.cv,7
তৈরি,t̪ o i̯ . r i,cvv.cv,cv.cv,7
ভরে,bʰ o . r e,cv.cv,cv.cv,7
বলা,b ɔ . l a,cv.cv,cv.cv,7
প্রতিদিন,p r o . t̪ i . d̪ i n,ccv.cv.cvc,ccv.cv.cvc,7
বারো,b a . r o,cv.cv,cv.cv,7
চেয়ে,c e . ʲ e,cv.cv,cv.cv,7
খেয়ে,kʰ e . ʲ e,cv.cv,cv.cv,7
করেন,k ɔ . r e n,cv.cvc,cv.cvc,7
যত,ɟ ɔ . t̪ o,cv.cv,cv.cv,7
সেটা,ʃ e . t a,cv.cv,cv.cv,7
অবশ্য,ɔ . b o ʃ . ʃ o,v.cvc.cv,v.cvc.cv,7
জানে,ɟ a . n e,cv.cv,cv.cv,7
এটা,e . t a,v.cv,v.cv,7
দেখা,d̪ æ . kʰ a,cv.cv,cv.cv,7
সম্ভব,ʃ ɔ m . bʰ ɔ b,cvc.cvc,cvc.cvc,7
তুলে,t̪ u . l e,cv.cv,cv.cv,7
কিছুই,k i . cʰ u i̯,cv.cvv,cv.cv,7
গত,g ɔ . t̪ o,cv.cv,cv.cv,7
ছেলে,cʰ e . l e,cv.cv,cv.cv,7
ফেরার,pʰ e . r a r,cv.cvc,cv.cvc,7
জীবনের,ɟ i . b ɔ . n e r,cv.cv.cvc,cv.cv.cvc,7
উঠতে,u tʰ . t̪ e,vc.cv,vc.cv,7
বাস,b a ʃ,cvc,cvc,7
ট্রেন,t r e n,ccvc,ccvc,7
বন্ধ,b ɔ n . d̪ʰ o,cvc.cv,cvc.cv,7
শব্দ,ʃ ɔ b . d̪ o,cvc.cv,cvc.cv,7
জীবন,ɟ i . b ɔ n,cv.cvc,cv.cvc,7
বলছি,b o l . cʰ i,cvc.cv,cvc.cv,7
দায়িত্ব,d̪ a ʲ . i t̪ . t̪ o,cvc.vc.cv,cvc.vc.cv,7
প্রথম,p r o . t̪ʰ o m,ccv.cvc,ccv.cvc,7
এখানে,e . kʰ a . n e,v.cv.cv,v.cv.cv,7
সকাল,ʃ ɔ . k a l,cv.cvc,cv.cvc,6
রূপ,r u p,cvc,cvc,6
ছিলাম,cʰ i . l a m,cv.cvc,cv.cvc,6
রাগ,r a g,cvc,cvc,6
করেই,k o . r e i̯,cv.cvv,cv.cv,6
রেজাল্ট,r e . ɟ a l t,cv.cvcc,cv.cvcc,6
রাত,r a t̪,cvc,cvc,6
কষ্ট,k ɔ ʃ . t o,cvc.cv,cvc.cv,6
দেওয়ার,d̪ e o̯ . ʷ a r,cvv.cvc,cv.cvc,6
কারো,k a . r o,cv.cv,cv.cv,6
হচ্ছিল,h o c . cʰ i . l o,cvc.cv.cv,cvc.cv.cv,6
সবাইকে,ʃ ɔ . b a i̯ . k e,cv.cvv.cv,cv.cv.cv,6
রুম,r u m,cvc,cvc,6
বেঁচে,b ẽ . c e,cv.cv,cv.cv,6
জানি,ɟ a . n i,cv.cv,cv.cv,6
করি,k o . r i,cv.cv,cv.cv,6
পায়,p a ʲ,cvc,cvc,6
প্রিয়,p r i . ʲ o,ccv.cv,ccv.cv,6
বাবাকে,b a . b a . k e,cv.cv.cv,cv.cv.cv,6
এখনো,æ . kʰ o . n o,v.cv.cv,v.cv.cv,6
মধ্যেই,m o d̪ . d̪ʰ e i̯,cvc.cvv,cvc.cv,6
করতেই,k o r . t̪ e i̯,cvc.cvv,cvc.cv,6
ভাবি,bʰ a . b i,cv.cv,cv.cv,6
লাগে,l a . g e,cv.cv,cv.cv,6
আপনারা,a p . n a . r a,vc.cv.cv,vc.cv.cv,6
সাদা,ʃ a . d̪ a,cv.cv,cv.cv,6
করলেন,k o r . l e n,cvc.cvc,cvc.cvc,6
শরীর,ʃ o . r i r,cv.cvc,cv.cvc,6
খেতে,kʰ e . t̪ e,cv.cv,cv.cv,6
হলাম,h o . l a m,cv.cvc,cv.cvc,6
চলবে,c o l . b e,cvc.cv,cvc.cv,6
করত,k ɔ . r o . t̪ o,cv.cv.cv,cv.cv.cv,6
পছন্দ,p ɔ . cʰ o n . d̪ o,cv.cvc.cv,cv.cvc.cv,6
জ্ঞান,g æ̃ n,cvc,cvc,6
ত্রাণ,t̪ r a n,ccvc,ccvc,6
সাহায্য,ʃ a . h a ɟ . ɟ o,cv.cvc.cv,cv.cvc.cv,6
বছর,b ɔ . cʰ o r,cv.cvc,cv.cvc,6
আসে,a . ʃ e,v.cv,v.cv,6
দিয়েছে,d̪ i . ʲ e . cʰ e,cv.cv.cv,cv.cv.cv,6
বাসা,b a . ʃ a,cv.cv,cv.cv,6
লাগছে,l a g . cʰ e,cvc.cv,cvc.cv,6
যাবেন,ɟ a . b e n,cv.cvc,cv.cvc,6
বেশি,b e . ʃ i,cv.cv,cv.cv,6
তারপর,t̪ a r . p ɔ r,cvc.cvc,cvc.cvc,6
হওয়া,h ɔ o̯ . ʷ a,cvv.cv,cv.cv,6
রাতে,r a . t̪ e,cv.cv,cv.cv,6
দাও,d̪ a o̯,cvv,cv,6
স্যার,s a r,cvc,cvc,6
যান,ɟ a n,cvc,cvc,6
সমস্যা,ʃ ɔ . m o ʃ . ʃ a,cv.cvc.cv,cv.cvc.cv,6
গাছের,g a . cʰ e r,cv.cvc,cv.cvc,6
গা,g a,cv,cv,6
বাংলা,b a ŋ . l a,cvc.cv,cvc.cv,6
হতো,h o . t̪ o,cv.cv,cv.cv,6
রয়েছে,r o . ʲ e . cʰ e,cv.cv.cv,cv.cv.cv,6
হয়নি,h ɔ ʲ . n i,cvc.cv,cvc.cv,6
শাশুড়ি,ʃ a . ʃ u . ɽ i,cv.cv.cv,cv.cv.cv,6
নাম,n a m,cvc,cvc,6
বস,b ɔ s,cvc,cvc,6
লিখুন,l i . kʰ u n,cv.cvc,cv.cvc,6
মনটা,m o n . t a,cvc.cv,cvc.cv,5
চোখে,c o . kʰ e,cv.cv,cv.cv,5
খেয়াল,kʰ e . ʲ a l,cv.cvc,cv.cvc,5
গুছিয়ে,g u . cʰ i . ʲ e,cv.cv.cv,cv.cv.cv,5
আসলে,a . ʃ o . l e,v.cv.cv,v.cv.cv,5
সারা,ʃ a . r a,cv.cv,cv.cv,5
পারিনি,p a . r i . n i,cv.cv.cv,cv.cv.cv,5
কথায়,k ɔ . t̪ʰ a ʲ,cv.cvc,cv.cvc,5
নিচে,n i . c e,cv.cv,cv.cv,5
ওঠে,o . tʰ e,v.cv,v.cv,5
পেলাম,p e . l a m,cv.cvc,cv.cvc,5
নিজেকে,n i . ɟ e . k e,cv.cv.cv,cv.cv.cv,5
দরজা,d̪ ɔ r . ɟ a,cvc.cv,cvc.cv,5
বিছানায়,b i . cʰ a . n a ʲ,cv.cv.cvc,cv.cv.cvc,5
খোলা,kʰ o . l a,cv.cv,cv.cv,5
আকাশ,a . k a ʃ,v.cvc,v.cvc,5
কখন,k ɔ . kʰ o n,cv.cvc,cv.cvc,5
পানি,p a . n i,cv.cv,cv.cv,5
জায়গা,ɟ a ʲ . g a,cvc.cv,cvc.cv,5
তেমন,t̪ æ . m o n,cv.cvc,cv.cvc,5
মেয়ে,m e . ʲ e,cv.cv,cv.cv,5
সত্য,ʃ o t̪ . t̪ o,cvc.cv,cvc.cv,5
গান,g a n,cvc,cvc,5
তাও,t̪ a . o,cv.v,cv.v,5
দোয়া,d̪ o . ʷ a,cv.cv,cv.cv,5
সেগুলো,ʃ e . g u . l o,cv.cv.cv,cv.cv.cv,5
পার,p a r,cvc,cvc,5
কেটে,k e . t e,cv.cv,cv.cv,5
দিলাম,d̪ i . l a m,cv.cvc,cv.cvc,5
কেমন,k æ . m o n,cv.cvc,cv.cvc,5
আছেন,a . cʰ e n,v.cvc,v.cvc,5
পান,p a n,cvc,cvc,5
সবার,ʃ ɔ . b a r,cv.cvc,cv.cvc,5
ওদের,o . d̪ e r,v.cvc,v.cvc,5
কে,k e,cv,cv,5
সাহস,ʃ a . h o ʃ,cv.cvc,cv.cvc,5
কম,k ɔ m,cvc,cvc,5
ইচ্ছা,i c . cʰ a,vc.cv,vc.cv,5
মজার,m ɔ . ɟ a r,cv.cvc,cv.cvc,5
পা,p a,cv,cv,5
দেন,d̪ æ n,cvc,cvc,5
নেয়,n e ʲ,cvc,cvc,5
পৌঁছাতে,p õ u̯ . cʰ a . t̪ e,cvv.cv.cv,cv.cv.cv,5
খালি,kʰ a . l i,cv.cv,cv.cv,5
সবই,ʃ ɔ b . i,cvc.v,cvc.v,5
এতে,e . t̪ e,v.cv,v.cv,5
নিউজ,n i u̯ ɟ,cvvc,cvc,5
বাঁধ,b ã d̪ʰ,cvc,cvc,5
বই,b o i̯,cvv,cv,5
নিজেদের,n i . ɟ e . d̪ e r,cv.cv.cvc,cv.cv.cvc,5
খুবই,kʰ u b . i,cvc.v,cvc.v,5
ফেসবুকে,pʰ e s . b u . k e,cvc.cv.cv,cvc.cv.cv,5
টাকা,t a . k a,cv.cv,cv.cv,5
চাই,c a i̯,cvv,cv,5
নীল,n i l,cvc,cvc,5
গাড়ির,g a . ɽ i r,cv.cvc,cv.cvc,5
আগেই,a . g e . i̯,v.cv.v,v.cv.v,5
দিলেন,d̪ i . l e n,cv.cvc,cv.cvc,5
ছাড়া,cʰ a . ɽ a,cv.cv,cv.cv,5
ফোনটা,pʰ o n . t a,cvc.cv,cvc.cv,5
দ্রুত,d̪ r u . t̪ o,ccv.cv,ccv.cv,5
তোমাকে,t̪ o . m a . k e,cv.cv.cv,cv.cv.cv,5
মিলে,m i . l e,cv.cv,cv.cv,5
আগামীকাল,a . g a . m i . k a l,v.cv.cv.cvc,v.cv.cv.cvc,5
ক্লাসে,k l a . s e,ccv.cv,ccv.cv,5
প্রশ্ন,p r o ʃ . n o,ccvc.cv,ccvc.cv,5
পড়ল,p o ɽ . l o,cvc.cv,cvc.cv,5
নৌকা,n o u̯ . k a,cvv.cv,cv.cv,5
দূর,d̪ u r,cvc,cvc,5
তর্ক,t̪ ɔ r . k o,cvc.cv,cvc.cv,5
ফেসবুক,pʰ e s . b u k,cvc.cvc,cvc.cvc,5
জানতে,ɟ a n . t̪ e,cvc.cv,cvc.cv,5
হয়েছিল,h o . ʲ e . cʰ i . l o,cv.cv.cv.cv,cv.cv.cv.cv,5
মায়ের,m a . ʲ e r,cv.cvc,cv.cvc,5
রেখে,r e . kʰ e,cv.cv,cv.cv,5
দেখার,d̪ æ . kʰ a r,cv.cvc,cv.cvc,5
জন,ɟ ɔ n,cvc,cvc,5
ছেলেটা,cʰ e . l e . t a,cv.cv.cv,cv.cv.cv,5
বিয়ে,b i . ʲ e,cv.cv,cv.cv,5
লেখাপড়া,l e . kʰ a . p ɔ . ɽ a,cv.cv.cv.cv,cv.cv.cv.cv,5
গ্রামে,g r a . m e,ccv.cv,ccv.cv,5
শহর,ʃ ɔ . h o r,cv.cvc,cv.cvc,5
হলে,h o . l e,cv.cv,cv.cv,5
যাও,ɟ a o̯,cvv,cv,5
কর,k ɔ r,cvc,cvc,5
চাকরি,c a k . r i,cvc.cv,cvc.cv,5
ভুল,bʰ u l,cvc,cvc,5
বাজাও,b a . ɟ a o̯,cv.cvv,cv.cv,5
জলদি,ɟ o l . d̪ i,cvc.cv,cvc.cv,5
কাপ,k a p,cvc,cvc,4
ছাদে,cʰ a . d̪ e,cv.cv,cv.cv,4
বসলাম,b o ʃ . l a m,cvc.cvc,cvc.cvc,4
সূর্য,ʃ u r . ɟ o,cvc.cv,cvc.cv,4
শান্ত,ʃ a n . t̪ o,cvc.cv,cvc.cv,4
পৃথিবীর,p r i . t̪ʰ i . b i r,ccv.cv.cvc,ccv.cv.cvc,4
সৌন্দর্য,ʃ o u̯ n . d̪ ɔ r . ɟ o,cvvc.cvc.cv,cvc.cvc.cv,4
আমিই,a . m i . i,v.cv.v,v.cv.v,4
চায়,c a ʲ,cvc,cvc,4
পারতাম,p a r . t̪ a m,cvc.cvc,cvc.cvc,4
একদিন,æ k . d̪ i n,vc.cvc,vc.cvc,4
খাবার,kʰ a . b a r,cv.cvc,cv.cvc,4
ভুলে,bʰ u . l e,cv.cv,cv.cv,4
কিছুক্ষণ,k i . cʰ u k . kʰ o n,cv.cvc.cvc,cv.cvc.cvc,4
সহ্য,ʃ o ɟ . ɟʰ o,cvc.cv,cvc.cv,4
ভয়ে,bʰ ɔ . ʲ e,cv.cv,cv.cv,4
ঘুমিয়ে,gʰ u . m i . ʲ e,cv.cv.cv,cv.cv.cv,4
পারবে,p a r . b e,cvc.cv,cvc.cv,4
শুয়ে,ʃ u . ʲ e,cv.cv,cv.cv,4
ঝড়ের,ɟʰ ɔ . ɽ e r,cv.cvc,cv.cvc,4
বেগে,b e . g e,cv.cv,cv.cv,4
বুঝে,b u . ɟʰ e,cv.cv,cv.cv,4
বাকি,b a . k i,cv.cv,cv.cv,4
কথাগুলো,k ɔ . t̪ʰ a . g u . l o,cv.cv.cv.cv,cv.cv.cv.cv,4
যেমন,ɟ æ . m o n,cv.cvc,cv.cvc,4
