bi_gram,freq,example
গ্যা,1,['গ্যাঁজদাঁতে']
গ্যে,1,['সৌভাগ্যের']
গ্রা,8,"['গ্রামে', 'গ্রামাঞ্চলে', 'ইনস্টাগ্রামে', 'গ্রাম', 'গ্রামসহ', 'সংগ্রাম', 'গ্রাসে', 'গ্রামবাসী']"
গ্রী,4,"['অগ্রীম', 'প্রসাধনসামগ্রী', 'গ্রীষ্মকালে', 'গ্রীষ্ম']"
গ্লা,3,"['গ্লানি', 'আত্মগ্লানিতে', 'গ্লাস']"
ঘ্যা,1,['ঘ্যাচড়া']
ঘ্রা,2,"['ঘ্রাণ', 'অনাঘ্রাত']"
ঙ্কা,2,"['আশঙ্কায়', 'আশঙ্কা']"
ঙ্কি,2,"['শঙ্কিত', 'আতঙ্কিত']"
ঙ্গা,1,['জিঙ্গাসা']
ঙ্গী,1,['জাহাঙ্গীরের']
ঙ্গে,6,"['ভেঙ্গে', 'সঙ্গেই', 'বঙ্গের', 'সঙ্গের', 'তরঙ্গের', 'সর্বাঙ্গে']"
ঙ্মু,1,['পরাঙ্মুখ']
চ্চা,6,"['উচ্চারণ', 'সমচ্চারিত', 'বাচ্চার', 'বাচ্চাদের', 'বাচ্চাটাকে', 'বাচ্চাটার']"
চ্ছা,6,"['ইচ্ছা', 'শুভেচ্ছাবার্তা', 'আচ্ছা', 'ইচ্ছার', 'ইচ্ছামতো', 'শুভেচ্ছা']"
চ্ছি,12,"['হচ্ছিল', 'যাচ্ছিল', 'যাচ্ছি', 'দিচ্ছি', 'পাচ্ছিলাম', 'দিচ্ছিলেন', 'পাচ্ছিস', 'যাচ্ছিলেন', 'দিচ্ছিলাম', 'পাচ্ছি', 'বুলাচ্ছিলাম', 'ঐচ্ছিক']"
চ্ছে,8,"['যাচ্ছে', 'হচ্ছে', 'খাচ্ছে', 'দিচ্ছে', 'চাচ্ছে', 'পাচ্ছেন', 'নিচ্ছে', 'ইচ্ছে']"
চ্ঞা,1,['যাচ্ঞা']
চ্বী,1,['চ্বী']
চ্যু,1,['স্থানচ্যুতি']
ছ্যা,1,['ছ্যাৎ']
জ্জী,1,['উজ্জীবন']
জ্ঞা,12,"['জ্ঞান', 'জ্ঞানের', 'অজ্ঞাত', 'অবজ্ঞাত', 'জ্ঞানপাপী', 'জ্ঞানীদের', 'জ্ঞানার্জন', 'জ্ঞাপন', 'বিজ্ঞান', 'বিজ্ঞানে', 'বিজ্ঞানের', 'অভিজ্ঞা']"
জ্ঞে,1,"['জিজ্ঞেস', 'দুর্জ্ঞেয়']"
জ্বা,2,"['জ্বালালাম', 'জ্বালাও']"
জ্যা,3,"['জ্যাম', 'জ্যাকেটের', 'জ্যাকেট']"
জ্যে,1,['রাজ্যে']
ঞ্চা,3,"['পঞ্চাশ', 'সঞ্চার', 'ঊনপঞ্চাশে']"
ঞ্চি,2,"['বঞ্চিত', 'সুবিধাবঞ্চিত']"
ঞ্চে,1,['মঞ্চে']
ঞ্ছা,1,['মনোবাঞ্ছা']
ঞ্জা,4,"['ম্যাসেঞ্জার', 'পাঞ্জাবির', 'ম্যাসেঞ্জারে', 'পাঞ্জাবিটা']"
ঞ্জি,1,['ইঞ্জিনিয়ারিং']
ট্টা,1,['ঠাট্টা']
ট্বা,1,['খট্বা']
ট্যা,1,"['স্ট্যাটাস', 'স্ট্যাম্পে', 'ট্যাক্সি']"
ট্রা,1,"['ট্রাফিক', 'স্ট্রাইক']"
ট্রে,6,"['ট্রেন', 'ট্রেন্ডে', 'ট্রেন্ড', 'ট্রেনের', 'ট্রেনে', 'ম্যাজিস্ট্রেট', 'ট্রেকিংয়ের']"
ড্যা,2,['ড্যাবড্যাব']
ড্রা,3,"['ড্রাইভার', 'ড্রাইভিং', 'ড্রামস']"
ঢ্যা,1,['ঢ্যাঁড়শ']
ণ্টা,3,"['ঘণ্টা', 'ঘণ্টার', 'ঘণ্টাখানেক']"
ণ্ঠে,1,['কণ্ঠের']
ণ্ডা,3,"['ভণ্ডামি', 'মণ্ডা', 'মণ্ডাও']"
ণ্মা,1,['ষাণ্মাসিক']
ণ্যে,1,['পুণ্যে']
ত্তে,3,"['উত্তেজনা', 'পিত্তের', 'চিত্তে']"
ত্থা,1,['উত্থান']
ত্বে,1,['দূরত্বে']
ত্মা,1,['আত্মার']
ত্মী,1,['আত্মীয়']
ত্যা,3,"['ইত্যাদি', 'ত্যাগেই', 'অগত্যা']"
ত্যু,2,"['মৃত্যু', 'মৃত্যুর']"
ত্যে,4,"['প্রত্যেক', 'প্রত্যেককে', 'প্রত্যেকের', 'সত্যের', 'মর্ত্যের']"
ত্রা,4,"['ত্রাণ', 'যাত্রা', 'চিত্রাঙ্কন', 'যাত্রায়']"
ত্রি,5,"['উনত্রিশ', 'যান্ত্রিক', 'পঁয়ত্রিশ', 'পত্রিকার', 'একত্রিত', 'পত্রিকা']"
ত্রী,7,"['মন্ত্রী', 'স্ত্রী', 'সস্ত্রীক', 'নেত্রী', 'ছাত্রী', 'যাত্রী', 'অভিনেত্রীর', 'স্ত্রীকেও', 'স্ত্রীকে', 'স্ত্রীর', 'ছাত্রীদের', 'ছাত্রীরা', 'কর্ত্রী', 'যাত্রীবহনকারী']"
ত্রু,1,['ত্রুটি']
ত্রে,4,"['নক্ষত্রের', 'এক্ষেত্রে', 'সংবাদপত্রে', 'সেক্ষেত্রে', 'অস্ত্রের', 'আইনশাস্ত্রের']"
থ্বী,1,['পৃথ্বীরাজ']
থ্যা,2,"['থ্যাতলানো', 'মিথ্যা']"
থ্রি,1,['থ্রি']
থ্রু,1,['থ্রু']
দ্গা,2,"['অগ্ন্যুদ্গার', 'উদ্গার']"
দ্ঘা,1,['উদ্ঘাটন']
দ্দী,1,['জসীমউদ্দীন']
দ্দে,1,['উদ্দেশ্যে']
দ্ধা,7,"['শ্রদ্ধা', 'সিদ্ধান্ত', 'উদ্ধার', 'উদ্ধারের', 'সিদ্ধান্তের', 'মুক্তিযোদ্ধারা', 'যোদ্ধা']"
দ্ধি,4,"['বুদ্ধি', 'বৃদ্ধির', 'বৃদ্ধিপ্রাপ্ত', 'সমৃদ্ধি']"
দ্ধে,1,['যুদ্ধে']
দ্নি,1,['বরবাদ্নিষেধ']
দ্বা,4,"['বিদ্বানদের', 'বিদ্বান', 'তদ্দ্বারা', 'দ্বারা', 'দ্বারায়', 'অন্তর্দ্বারেই']"
দ্বি,3,"['দ্বিতীয়', 'দ্বিধাবোধ', 'দ্বিধা']"
দ্ভা,1,['উদ্ভাবকের']
দ্ভু,2,"['অদ্ভুৎ', 'অদ্ভুত']"
দ্ভূ,1,['উদ্ভূত']
দ্মা,2,"['পদ্মার', 'পদ্মাকে']"
দ্যা,2,"['বিশ্ববিদ্যালয়ে', 'বিদ্যাসাগর']"
দ্যো,1,['উদ্যোগ']
দ্রা,1,['ক্ষুদ্রাতিক্ষুদ্র']
দ্রু,2,"['দ্রুত', 'বিদ্রুপের']"
দ্রে,3,"['সমুদ্রের', 'সমুদ্রে', 'সমুদ্রেই', 'ইন্দ্রের']"
ধ্নু,1,['অর্থগৃধ্নু']
ধ্মা,1,['উদরাধ্মান']
ধ্যে,3,"['মধ্যে', 'মধ্যেই', 'ইতিমধ্যে']"
ধ্রু,1,['ধ্রুব']
ন্টা,1,['ইন্টারভিউ']
ন্টি,2,"['ক্যান্টিনের', 'ক্যান্টিনে']"
ন্টে,1,['ভ্যারিয়েন্টের']
ন্ডা,3,"['ঠান্ডা', 'পেন্ডামিকে', 'পেন্ডামিকের']"
ন্ডি,1,['পন্ডিত']
ন্ডে,4,"['সেকেন্ডের', 'ট্রেন্ডে', 'ব্র্যান্ডের', 'ব্রান্ডের']"
ন্তা,6,"['চিন্তা', 'দুঃশ্চিন্তা', 'দুশ্চিন্তায়', 'সন্তানেরা', 'চিন্তায়', 'দুশ্চিন্তা']"
ন্তি,6,"['প্রশান্তিতে', 'ভোগান্তি', 'শান্তির', 'ক্লান্তি', 'চিন্তিত', 'ঐকান্তিক']"
ন্তু,1,['কিন্তু']
ন্তে,5,"['অজান্তেই', 'জীবনপ্রান্তে', 'সিদ্ধান্তের', 'প্রান্তে', 'উদ্ভ্রান্তের']"
ন্দা,5,"['বারান্দায়', 'বারান্দাতেই', 'বাসিন্দা', 'নাছোড়বান্দা', 'মন্দার']"
ন্দি,4,"['আনন্দিত', 'বন্দিদশা', 'বন্দিদশাকে', 'দৈনন্দিন']"
ন্দু,6,"['হিন্দুধর্ম', 'রক্তবিন্দুর', 'হিন্দু', 'হিন্দুরা', 'হিন্দুসমাজে', 'হিন্দুদের']"
ন্দে,2,"['আনন্দের', 'আনন্দে']"
ন্দো,1,['আন্দোলন']
ন্ধা,1,['সন্ধান']
ন্ধী,1,['সম্বন্ধীয়']
ন্ধু,6,"['বন্ধু', 'বন্ধুর', 'বন্ধুকে', 'বন্ধুদের', 'বন্ধুত্ব', 'বন্ধুরা']"
ন্ধে,3,"['অন্ধের', 'গন্ধে', 'সম্বন্ধে']"
ন্না,2,"['রান্না', 'কান্না']"
ন্নে,1,['উচ্ছন্নে']
ন্বে,1,['অন্বেষণ']
ন্মা,1,['অজন্মা']
ন্মি,1,['জন্মিয়েছে']
ন্যা,5,"['বন্যায়', 'উপন্যাস', 'ন্যানো', 'ন্যায্য', 'সন্ন্যাসে', 'অন্যায়ভাবে']"
ন্যু,1,"['অগ্ন্যুদ্গম', 'অগ্ন্যুদ্গার', 'ন্যুব্জ']"
ন্যূ,1,['ন্যূনতম']
ন্যে,1,['অন্যের']
ন্সে,2,"['ক্যান্সেল', 'পারফরম্যান্সের']"
প্তা,1,['সপ্তাহে']
প্না,1,['স্বপ্নাদেশে']
প্পা,1,['ধাপ্পা']
প্যা,2,"['প্যারালাইসড', 'আপ্যায়িত']"
প্রা,16,"['প্রাণ', 'প্রাচীন', 'প্রায়', 'প্রাণের', 'প্রায়ই', 'প্রাতরাশ', 'প্রান্তরের', 'প্রান্তর', 'প্রাণপ্রিয়', 'প্রাণীর', 'জীবনপ্রান্তে', 'প্রাপক', 'প্রান্তে', 'বৃদ্ধিপ্রাপ্ত', 'প্রাণরাঙা', 'প্রাসাদ']"
প্রি,3,"['প্রিয়', 'জনপ্রিয়', 'প্রাণপ্রিয়', 'স্প্রিং']"
প্রে,4,"['অনুপ্রেরণা', 'প্রেশারও', 'এক্সপ্রেস', 'অনুপ্রেরণাদায়ী', 'স্প্রেডশিটে', 'স্প্রে']"
প্রো,4,"['প্রোটিনের', 'প্রোফাইল', 'প্রোটন', 'প্রোতিক্ক্রিয়া']"
প্লা,1,['প্লাবিত']
প্লী,1,['প্লীহাকে']
প্সা,1,['লিপ্সা']
ফ্যা,1,['ফ্যাকাশে']
ফ্রি,1,['ফ্রি']
ফ্রে,1,['ফ্রেশ']
ফ্লে,1,['ফ্লেভারের']
ব্দী,2,"['শতাব্দী', 'শতাব্দীর']"
ব্দে,3,"['শব্দের', 'শব্দে', 'নিঃশব্দে']"
ব্ধি,1,['উপলব্ধি']
ব্বি,2,"['ছাব্বিশশে', 'মুরব্বিরা']"
ব্বু,2,"['আব্বুকে', 'আব্বু']"
ব্যা,15,"['ব্যালকনিতে', 'ব্যাখ্যা', 'ব্যাপার', 'ব্যাপারে', 'ব্যাপারটা', 'ব্যাথা', 'ব্যাংকে', 'ব্যাটিংয়েও', 'ব্যাক্তি', 'ব্যালকুনিতে', 'ব্যাক', 'ব্যাগপত্র', 'মাথাব্যাথা', 'ব্যাকরণে', 'ব্যাকরণের']"
ব্যে,1,['একলব্যের']
ব্রা,2,"['ব্রান্ডের', 'ব্রাহ্মণ']"
ব্রু,2,"['ফেব্রুয়ারি', 'ফেব্রুয়ারিতে']"
ব্লা,1,['ব্লাড']
ভ্যা,4,"['অভ্যাসবশত', 'বদঅভ্যাস', 'ভ্যারিয়েন্টের', 'ভ্যাকসিন']"
ভ্রা,1,"['ভ্রাতৃত্বকে', 'উদ্ভ্রান্তের']"
ম্নে,1,['নিম্নে']
ম্পা,1,['কোম্পানিতে']
ম্পি,2,"['কম্পিউটার', 'বিশ্বচ্যম্পিয়ন']"
ম্পে,1,['স্ট্যাম্পে']
ম্ফা,1,['আম্ফান']
ম্বা,1,['নাম্বারটা']
ম্বি,5,"['সম্বিত', 'জম্বি', 'জম্বিগুলো', 'সম্বিৎ', 'প্রলম্বিত']"
ম্ভা,1,['সম্ভাবনা']
ম্ভি,1,['স্তম্ভিত']
ম্মা,2,"['আম্মা', 'সম্মান']"
ম্মু,2,"['আম্মু', 'আম্মুর']"
ম্যা,13,"['ম্যাসেঞ্জার', 'ম্যাচের', 'ম্যাচে', 'চেয়ারম্যান', 'ম্যানেজ', 'ম্যাসেঞ্জারে', 'ম্যাসেজের', 'ম্যাসেজ', 'ম্যাজিস্ট্রেট', 'ম্যাচ', 'পারফরম্যান্সের', 'ম্যাচেও', 'পারফরম্যান্স']"
ম্লা,2,"['অম্লান', 'ম্লান']"
র্কে,2,"['সম্পর্কে', 'তর্কের']"
র্গা,2,"['দূর্গার', 'দূর্গা']"
র্গি,1,['নার্গিস']
র্গী,2,"['স্বর্গীয়', 'বর্গীয়']"
র্গে,1,['টার্গেট']
র্জা,1,['গির্জা']
র্টা,2,"['পোর্টালগুলো', 'রিপোর্টাররা']"
র্টি,2,"['সার্টিফিকেট', 'পার্টি']"
র্টে,3,"['কোর্টে', 'শার্টের', 'এক্সপার্টের']"
র্ডা,2,"['অর্ডার', 'বর্ডার']"
র্ডে,1,['বোর্ডের']
র্ণি,1,['ঘূর্ণিঝড়ের']
র্ণে,1,['উত্তমর্ণের']
র্তা,4,"['শুভেচ্ছাবার্তা', 'সৃষ্টিকর্তার', 'সৃষ্টিকর্তা', 'ভর্তা']"
র্তি,1,['মূর্তিমান']
র্তী,3,"['পরবর্তীতে', 'পরবর্তী', 'চক্রবর্তী']"
র্তৃ,1,['কর্তৃক']
র্তে,2,"['মুহূর্তে', 'মুহূর্তের']"
র্থে,4,"['অর্থের', 'স্বার্থে', 'অর্থেই', 'পদার্থের']"
র্দা,2,"['দুর্দান্ত', 'দুর্দান্তই']"
র্দি,2,"['নির্দিষ্ট', 'সর্দি']"
র্দে,3,"['নির্দেশ', 'নির্দেশে', 'নির্দেশমতো']"
র্ধা,1,['নির্ধারণ']
র্না,1,['দুর্নাম']
র্নি,1,['কার্নিশে']
র্নে,1,['টর্নেডোর']
র্ফা,1,['কোর্ফা']
র্বা,4,"['নির্বাচনের', 'পুনর্বাসন', 'পূর্বাভাস', 'সর্বাঙ্গে']"
র্বে,4,"['বৃষ্টিপর্বের', 'পর্বে', 'পূর্বের', 'পূর্বে']"
র্বো,1,['সর্বোচ্চ']
র্ভা,3,"['আবির্ভাবের', 'আবির্ভাব', 'রত্নগর্ভা']"
র্ভি,1,['দূর্ভিক্ষ']
র্মা,3,"['নির্মাণের', 'নির্মাণ', 'অকৃষ্ণকর্মা']"
র্মি,2,"['সহমর্মিতা', 'স্বর্ণনির্মিত']"
র্মী,3,"['কর্মীদের', 'ধর্মীয়', 'কর্মীকে']"
র্মে,1,['ফার্মেসি']
র্যা,2,"['মর্যাদা', 'ব্র্যান্ডের', 'পর্যাপ্ত', 'প্র্যাকটিস']"
র্যে,2,"['সৌন্দর্যের', 'সূর্যের', 'বৈচিত্র্যে']"
র্যো,2,"['দুর্যোগের', 'দুর্যোগ']"
র্লি,1,['বার্লি']
র্শী,1,['প্রত্যক্ষদর্শীসহ']
র্শে,1,['আদর্শের']
র্ষা,2,"['বর্ষাতি', 'বর্ষা']"
র্সো,1,['পার্সোনাল']
র্হি,1,['অন্তর্হিত']
ল্কা,1,['উল্কা']
ল্গু,1,['ফাল্গুন']
ল্টা,1,['উল্টানো']
ল্টে,1,['উল্টে']
ল্টো,1,['উল্টো']
ল্পে,3,"['প্রকল্পের', 'গল্পেই', 'গল্পের']"
ল্বি,1,['অকিল্বিষ']
ল্লা,3,"['আল্লাহর', 'আল্লাহ', 'উল্লাস']"
ল্লি,2,"['চল্লিশ', 'ছেচল্লিশ']"
ল্লে,1,['উল্লেখ']
শ্চি,6,"['দুঃশ্চিন্তা', 'দুশ্চিন্তায়', 'নিশ্চিত', 'দুশ্চিন্তা', 'পশ্চিম', 'অনিশ্চিত']"
শ্ছে,1,['শিরশ্ছেদের']
শ্নে,1,['প্রশ্নের']
শ্নো,1,['প্রশ্নোত্তর']
শ্বা,8,"['অবিশ্বাস্য', 'বিশ্বাস', 'আশ্বাসও', 'বিশ্বাসঘাতকতা', 'বিশ্বাসই', 'বিশ্বাসের', 'নিঃশ্বাস', 'নিশ্বাস']"
শ্বি,1,"['আশ্বিন', 'পার্শ্বিক']"
শ্বে,1,['মহাবিশ্বে']
শ্মী,1,['কাশ্মীরের']
শ্যে,1,['উদ্দেশ্যে']
শ্রা,2,"['বিশ্রাম', 'শ্রাদ্ধ']"
শ্রে,2,"['শ্রেণির', 'শ্রেণীর']"
শ্লী,1,['শ্লীলতা']
শ্লে,1,['আশ্লেষে']
ষ্কা,1,['পরিষ্কার']
ষ্কে,1,['মস্তিষ্কের']
ষ্টা,2,"['চেষ্টা', 'চেষ্টাতেও']"
ষ্টি,12,"['বৃষ্টি', 'মিষ্টি', 'বৃষ্টিতে', 'দৃষ্টি', 'বৃষ্টির', 'সৃষ্টিকর্তার', 'বৃষ্টিও', 'বৃষ্টিপর্বের', 'সৃষ্টিকর্তা', 'পুষ্টির', 'আপাতদৃষ্টিতে', 'পুষ্টিকর']"
ষ্টু,1,['দুষ্টু']
ষ্ঠা,9,"['অনুষ্ঠানটি', 'পৃষ্ঠা', 'অনুষ্ঠানের', 'প্রতিষ্ঠানে', 'আনুষ্ঠানিকতা', 'প্রতিষ্ঠান', 'পুনঃপ্রতিষ্ঠা', 'প্রতিষ্ঠার', 'প্রতিষ্ঠানের']"
ষ্ঠি,1,['যষ্ঠি']
ষ্ণু,1,['বিষ্ণু']
ষ্পা,1,['নিষ্পাপ']
ষ্পে,1,['নিষ্পেষিত']
ষ্মা,1,['অকালকুষ্মাণ্ড']
ষ্যা,1,"['ক্ষ্যাত', 'উড়িষ্যার']"
ষ্যে,1,['শিষ্যের']
স্কা,3,"['কুসংস্কার', 'স্কার্ফ', 'মনোস্কাম']"
স্কু,3,"['স্কুলে', 'স্কুল', 'স্কুলের']"
স্কে,1,['স্কেল']
স্কো,1,['স্কোর']
স্টা,6,"['স্টেশনমাস্টার', 'মাস্টার', 'মাস্টারকে', 'মাস্টার্স', 'ইনস্টাগ্রামে', 'খ্রিস্টান']"
স্টু,2,"['স্টুডেন্টদের', 'স্টুপিডিটি']"
স্টে,5,"['স্টেশন', 'স্টেশনমাস্টার', 'স্টেশনে', 'লিস্টের', 'স্টেশনের']"
স্টো,1,['স্টোরি']
স্তা,9,"['রাস্তার', 'নাস্তা', 'রাস্তায়', 'শায়েস্তা', 'প্রস্তাব', 'বস্তাও', 'রাস্তাঘাট', 'প্রস্তাবনা', 'বিস্তারিত']"
স্তি,3,"['স্বস্তির', 'অস্বস্তিতে', 'মস্তিষ্কের']"
স্তু,3,"['প্রস্তুতি', 'বস্তুকে', 'বস্তু']"
স্থা,11,"['অবস্থা', 'অবস্থান', 'ক্ষণস্থায়ী', 'উপস্থাপনা', 'সংস্থাপন', 'স্থানীয়', 'দীর্ঘস্থায়ী', 'স্থাপত্যগুলো', 'স্থানচ্যুতি', 'স্থান', 'যথাস্থানের']"
স্থি,5,"['উপস্থিত', 'পরিস্থিতি', 'পরিস্থিতিতে', 'অস্থিচর্মসার', 'উপস্থিতি']"
স্না,2,"['স্নান', 'স্নাতকোত্তর']"
স্নে,3,"['স্নেহ', 'সস্নেহে', 'স্নেহময়']"
স্পে,1,['স্পেশালভাবে']
স্ফা,1,['আস্ফালনে']
স্ফী,1,['স্ফীত']
স্ফূ,1,['স্বতঃস্ফূর্ত']
স্ফো,1,['স্ফোটন']
স্বা,10,"['স্বাদ', 'স্বামীকে', 'স্বাস্থ্য', 'স্বাধীনভাবে', 'স্বার্থে', 'স্বার্থকেন্দ্রিক', 'স্বাভাবিক', 'স্বামীসহ', 'সুস্বাস্থ্য', 'স্বাতন্ত্র্য']"
স্বী,3,"['স্বীকৃতি', 'স্বীকৃত', 'স্বীকার']"
স্মি,1,['সুস্মিতা']
স্মৃ,4,"['স্মৃতিগুলো', 'স্মৃতি', 'স্মৃতিমালা', 'স্মৃতিচিহ্ন']"
স্মে,1,['ভস্মে']
স্যা,8,"['স্যার', 'সমস্যা', 'স্যারের', 'স্যাঁতস্যাঁতে', 'সমস্যার', 'সমস্যাগুলো', 'স্যারকে']"
স্লো,1,['স্লোগান']
হ্ণে,1,['অপরাহ্ণের']
হ্বা,1,['আহ্বান']
হ্যা,1,['হ্যালো']
হ্লা,2,"['আহ্লাদ', 'হ্লাদিনী']"
