word,ipa,freq
বেরিয়ে,b e . r i . ʲ e,10
ভিতর,bʰ i . t̪ ɔ r,10
হাতে,h a . t̪ e,10
তিন,t̪ i n,10
ফোন,pʰ o n,10
দাঁড়িয়ে,d̪ ã . ɽ i . ʲ e,10
কেন,k e n,10
বৃষ্টি,b r i ʃ . t i,10
মুখে,m u . kʰ e,10
সবসময়,ʃ ɔ b . ʃ o . m ɔ ʲ,10
আপনাদের,a p . n a . d̪ e r,10
মাছ,m a cʰ,10
দিল,d̪ i . l o,10
একটি,e k . t i,10
এরপর,e r . p ɔ r,10
একাই,æ . k a i̯,10
নারিকেল,n a . r i . k e l,10
গাছ,g a cʰ,10
দেখল,d̪ e kʰ . l o,10
শাশুড়ির,ʃ a . ʃ u . ɽ i r,10
অর্থ,ɔ r t̪ . t̪ʰ o,10
শব্দের,ʃ ɔ b . d̪ e r,10
মেনে,m e . n e,9
পুরো,p u . r o,9
তাকিয়ে,t̪ a . k i . ʲ e,9
আসতে,a ʃ . t̪ e,9
পাঁচ,p ã c,9
ফিরে,pʰ i . r e,9
বললেন,b o l . l e n,9
ভেবে,bʰ e . b e,9
তবে,t̪ ɔ . b e,9
একজন,æ k . ɟ o n,9
বলেন,b ɔ . l e n,9
কীভাবে,k i . bʰ a . b e,9
মানুষের,m a . n u . ʃ e r,9
দেশের,d̪ e . ʃ e r,9
পর্যন্ত,p ɔ r . ɟ o n . t̪ o,9
গেলে,g e . l e,9
সামনে,ʃ a m . n e,9
করব,k o r . b o,9
পরের,p ɔ . r e r,9
ভেঙে,bʰ e . ŋ e,9
চাচা,c a . c a,9
সকালে,ʃ ɔ . k a . l e,9
করেছে,k o . r e . cʰ e,9
মানে,m a . n e,9
দেখলাম,d̪ e kʰ . l a m,9
হারিয়ে,h a . r i . ʲ e,9
হচ্ছে,h o c . cʰ e,9
বিয়ের,b i . ʲ e r,9
করো,k ɔ . r o,9
চোখ,c o kʰ,9
হোন,h o n,9
বোঝায়,b o . ɟʰ a ʲ,9
চা,c a,8
তুই,t̪ u i̯,8
মাথায়,m a . t̪ʰ a ʲ,8
পাশে,p a . ʃ e,8
হয়তো,h ɔ ʲ . t̪ o,8
মাত্র,m a t̪ . t̪ r o,8
সাত,ʃ a t̪,8
হওয়ার,h ɔ o̯ . ʷ a r,8
চেষ্টা,c e ʃ . t a,8
মিষ্টি,m i ʃ . t i,8
জানান,ɟ a . n a n,8
এরা,e . r a,8
কখনো,k ɔ . kʰ o . n o,8
সাধারণ,ʃ a . d̪ʰ a . r ɔ n,8
বাড়িতে,b a . ɽ i . t̪ e,8
ঠিক,tʰ i k,8
করবে,k o r . b e,8
কেবল,k e . b o l,8
অবস্থা,ɔ . b o s . t̪ʰ a,8
মুখ,m u kʰ,8
গেলাম,g e . l a m,8
কারণ,k a . r o n,8
দেশে,d̪ e . ʃ e,8
পেয়ে,p e . ʲ e,8
এগুলো,e . g u . l o,8
সমুদ্রের,ʃ o . m u d̪ . d̪ r e r,8
বাজারে,b a . ɟ a . r e,8
দেখান,d̪ æ . kʰ a n,8
ভাইয়া,bʰ a i̯ . ʲ a,7
মেলে,m e . l e,7
ছেড়ে,cʰ e . ɽ e,7
মন,m o n,7
মাস,m a ʃ,7
থেকেই,t̪ʰ e . k e . i,7
বুঝলাম,b u ɟʰ . l a m,7
সবচেয়ে,ʃ ɔ b . c e . ʲ e,7
তৈরি,t̪ o i̯ . r i,7
ভরে,bʰ o . r e,7
বলা,b ɔ . l a,7
প্রতিদিন,p r o . t̪ i . d̪ i n,7
বারো,b a . r o,7
চেয়ে,c e . ʲ e,7
খেয়ে,kʰ e . ʲ e,7
করেন,k ɔ . r e n,7
যত,ɟ ɔ . t̪ o,7
সেটা,ʃ e . t a,7
অবশ্য,ɔ . b o ʃ . ʃ o,7
জানে,ɟ a . n e,7
এটা,e . t a,7
দেখা,d̪ æ . kʰ a,7
সম্ভব,ʃ ɔ m . bʰ ɔ b,7
তুলে,t̪ u . l e,7
কিছুই,k i . cʰ u i̯,7
গত,g ɔ . t̪ o,7
ছেলে,cʰ e . l e,7
ফেরার,pʰ e . r a r,7
জীবনের,ɟ i . b ɔ . n e r,7
উঠতে,u tʰ . t̪ e,7
বাস,b a ʃ,7
ট্রেন,t r e n,7
বন্ধ,b ɔ n . d̪ʰ o,7
শব্দ,ʃ ɔ b . d̪ o,7
জীবন,ɟ i . b ɔ n,7
বলছি,b o l . cʰ i,7
দায়িত্ব,d̪ a ʲ . i t̪ . t̪ o,7
প্রথম,p r o . t̪ʰ o m,7
এখানে,e . kʰ a . n e,7
সকাল,ʃ ɔ . k a l,6
রূপ,r u p,6
ছিলাম,cʰ i . l a m,6
রাগ,r a g,6
করেই,k o . r e i̯,6
রেজাল্ট,r e . ɟ a l t,6
রাত,r a t̪,6
কষ্ট,k ɔ ʃ . t o,6
দেওয়ার,d̪ e o̯ . ʷ a r,6
কারো,k a . r o,6
হচ্ছিল,h o c . cʰ i . l o,6
সবাইকে,ʃ ɔ . b a i̯ . k e,6
রুম,r u m,6
বেঁচে,b ẽ . c e,6
জানি,ɟ a . n i,6
করি,k o . r i,6
পায়,p a ʲ,6
প্রিয়,p r i . ʲ o,6
বাবাকে,b a . b a . k e,6
এখনো,æ . kʰ o . n o,6
মধ্যেই,m o d̪ . d̪ʰ e i̯,6
করতেই,k o r . t̪ e i̯,6
ভাবি,bʰ a . b i,6
লাগে,l a . g e,6
আপনারা,a p . n a . r a,6
সাদা,ʃ a . d̪ a,6
করলেন,k o r . l e n,6
শরীর,ʃ o . r i r,6
খেতে,kʰ e . t̪ e,6
হলাম,h o . l a m,6
চলবে,c o l . b e,6
করত,k ɔ . r o . t̪ o,6
পছন্দ,p ɔ . cʰ o n . d̪ o,6
জ্ঞান,g æ̃ n,6
ত্রাণ,t̪ r a n,6
সাহায্য,ʃ a . h a ɟ . ɟ o,6
বছর,b ɔ . cʰ o r,6
আসে,a . ʃ e,6
দিয়েছে,d̪ i . ʲ e . cʰ e,6
বাসা,b a . ʃ a,6
লাগছে,l a g . cʰ e,6
যাবেন,ɟ a . b e n,6
বেশি,b e . ʃ i,6
তারপর,t̪ a r . p ɔ r,6
হওয়া,h ɔ o̯ . ʷ a,6
রাতে,r a . t̪ e,6
দাও,d̪ a o̯,6
স্যার,s a r,6
যান,ɟ a n,6
সমস্যা,ʃ ɔ . m o ʃ . ʃ a,6
গাছের,g a . cʰ e r,6
গা,g a,6
বাংলা,b a ŋ . l a,6
হতো,h o . t̪ o,6
রয়েছে,r o . ʲ e . cʰ e,6
হয়নি,h ɔ ʲ . n i,6
শাশুড়ি,ʃ a . ʃ u . ɽ i,6
নাম,n a m,6
বস,b ɔ s,6
লিখুন,l i . kʰ u n,6
মনটা,m o n . t a,5
চোখে,c o . kʰ e,5
খেয়াল,kʰ e . ʲ a l,5
গুছিয়ে,g u . cʰ i . ʲ e,5
আসলে,a . ʃ o . l e,5
সারা,ʃ a . r a,5
পারিনি,p a . r i . n i,5
কথায়,k ɔ . t̪ʰ a ʲ,5
নিচে,n i . c e,5
ওঠে,o . tʰ e,5
পেলাম,p e . l a m,5
নিজেকে,n i . ɟ e . k e,5
দরজা,d̪ ɔ r . ɟ a,5
বিছানায়,b i . cʰ a . n a ʲ,5
খোলা,kʰ o . l a,5
আকাশ,a . k a ʃ,5
কখন,k ɔ . kʰ o n,5
পানি,p a . n i,5
জায়গা,ɟ a ʲ . g a,5
তেমন,t̪ æ . m o n,5
মেয়ে,m e . ʲ e,5
সত্য,ʃ o t̪ . t̪ o,5
গান,g a n,5
তাও,t̪ a . o,5
দোয়া,d̪ o . ʷ a,5
সেগুলো,ʃ e . g u . l o,5
পার,p a r,5
কেটে,k e . t e,5
দিলাম,d̪ i . l a m,5
কেমন,k æ . m o n,5
আছেন,a . cʰ e n,5
পান,p a n,5
সবার,ʃ ɔ . b a r,5
ওদের,o . d̪ e r,5
কে,k e,5
সাহস,ʃ a . h o ʃ,5
কম,k ɔ m,5
ইচ্ছা,i c . cʰ a,5
মজার,m ɔ . ɟ a r,5
পা,p a,5
দেন,d̪ æ n,5
নেয়,n e ʲ,5
পৌঁছাতে,p õ u̯ . cʰ a . t̪ e,5
খালি,kʰ a . l i,5
সবই,ʃ ɔ b . i,5
এতে,e . t̪ e,5
নিউজ,n i u̯ ɟ,5
বাঁধ,b ã d̪ʰ,5
বই,b o i̯,5
নিজেদের,n i . ɟ e . d̪ e r,5
খুবই,kʰ u b . i,5
ফেসবুকে,pʰ e s . b u . k e,5
টাকা,t a . k a,5
চাই,c a i̯,5
নীল,n i l,5
গাড়ির,g a . ɽ i r,5
আগেই,a . g e . i̯,5
দিলেন,d̪ i . l e n,5
ছাড়া,cʰ a . ɽ a,5
ফোনটা,pʰ o n . t a,5
দ্রুত,d̪ r u . t̪ o,5
তোমাকে,t̪ o . m a . k e,5
মিলে,m i . l e,5
আগামীকাল,a . g a . m i . k a l,5
ক্লাসে,k l a . s e,5
প্রশ্ন,p r o ʃ . n o,5
পড়ল,p o ɽ . l o,5
নৌকা,n o u̯ . k a,5
দূর,d̪ u r,5
তর্ক,t̪ ɔ r . k o,5
ফেসবুক,pʰ e s . b u k,5
জানতে,ɟ a n . t̪ e,5
হয়েছিল,h o . ʲ e . cʰ i . l o,5
মায়ের,m a . ʲ e r,5
রেখে,r e . kʰ e,5
দেখার,d̪ æ . kʰ a r,5
জন,ɟ ɔ n,5
ছেলেটা,cʰ e . l e . t a,5
বিয়ে,b i . ʲ e,5
লেখাপড়া,l e . kʰ a . p ɔ . ɽ a,5
গ্রামে,g r a . m e,5
শহর,ʃ ɔ . h o r,5
হলে,h o . l e,5
যাও,ɟ a o̯,5
কর,k ɔ r,5
চাকরি,c a k . r i,5
ভুল,bʰ u l,5
বাজাও,b a . ɟ a o̯,5
জলদি,ɟ o l . d̪ i,5
কাপ,k a p,4
ছাদে,cʰ a . d̪ e,4
বসলাম,b o ʃ . l a m,4
সূর্য,ʃ u r . ɟ o,4
শান্ত,ʃ a n . t̪ o,4
পৃথিবীর,p r i . t̪ʰ i . b i r,4
সৌন্দর্য,ʃ o u̯ n . d̪ ɔ r . ɟ o,4
আমিই,a . m i . i,4
চায়,c a ʲ,4
পারতাম,p a r . t̪ a m,4
একদিন,æ k . d̪ i n,4
খাবার,kʰ a . b a r,4
ভুলে,bʰ u . l e,4
কিছুক্ষণ,k i . cʰ u k . kʰ o n,4
সহ্য,ʃ o ɟ . ɟʰ o,4
ভয়ে,bʰ ɔ . ʲ e,4
ঘুমিয়ে,gʰ u . m i . ʲ e,4
পারবে,p a r . b e,4
শুয়ে,ʃ u . ʲ e,4
ঝড়ের,ɟʰ ɔ . ɽ e r,4
বেগে,b e . g e,4
বুঝে,b u . ɟʰ e,4
বাকি,b a . k i,4
কথাগুলো,k ɔ . t̪ʰ a . g u . l o,4
যেমন,ɟ æ . m o n,4
ঘর,gʰ ɔ r,4
শুনতে,ʃ u n . t̪ e,4
মিনিট,m i . n i t,4
এভাবে,e . bʰ a . b e,4
ওই,o i̯,4
খুলে,kʰ u . l e,4
দেখাই,d̪ æ . kʰ a i̯,4
নামে,n a . m e,4
কোথায়,k o . t̪ʰ a ʲ,4
দেয়,d̪ e ʲ,4
সমস্ত,ʃ ɔ . m o s . t̪ o,4
ভাবতেই,bʰ a b . t̪ e i̯,4
ভালোভাবে,bʰ a . l o . bʰ a . b e,4
বৃষ্টিতে,b r i ʃ . t i . t̪ e,4
বোনকে,b o n . k e,4
খেলা,kʰ æ . l a,4
রাস্তার,r a s . t̪ a r,4
ডেকে,d e . k e,4
কোটি,k o . t i,4
যাব,ɟ a . b o,4
হাসি,h a . ʃ i,4
মেয়েরা,m e . ʲ e . r a,4
এখনই,æ . kʰ o n . i,4
চল,c ɔ l,4
বাঁধের,b ã . d̪ʰ e r,4
কলা,k ɔ . l a,4
সেখানে,ʃ e . kʰ a . n e,4
পালন,p a . l o n,4
দেরি,d̪ e . r i,4
চলছে,c o l . cʰ e,4
আলো,a . l o,4
হাঁটতে,h ã t . t̪ e,4
নিবেন,n i . b e n,4
তে,t̪ e,4
পনেরো,p o . n e . r o,4
ইত্যাদি,i t̪ . t̪ a . d̪ i,4
ঘরের,gʰ ɔ r . e r,4
এদের,e . d̪ e r,4
দাবী,d̪ a . b i,4
চোখের,c o . kʰ e r,4
থাকা,t̪ʰ a . k a,4
পাশেই,p a . ʃ e i̯,4
বাজার,b a . ɟ a r,4
ওপাশ,o . p a ʃ,4
থাকলে,t̪ʰ a k . l e,4
বলার,b ɔ . l a r,4
সুযোগ,ʃ u . ɟ o g,4
হোক,h o k,4
বলেই,b o . l e i̯,4
আমরা,a m . r a,4
জিজ্ঞেস,ɟ i g . g ẽ ʃ,4
রাখার,r a . kʰ a r,4
স্টেশন,s t e . ʃ ɔ n,4
স্টেশনমাস্টার,s t e . ʃ ɔ n . m a s . t a r,4
পড়তে,p o ɽ . t̪ e,4
পদক্ষেপ,p ɔ . d̪ o k . kʰ e p,4
প্রাণ,p r a n,4
পরামর্শ,p ɔ . r a . m ɔ r . ʃ o,4
পরীক্ষা,p o . r i k . kʰ a,4
ভিন্ন,bʰ i n . n o,4
পদ্মার,p ɔ d̪ . d ã r,4
পাড়ে,p a . ɽ e,4
বার,b a r,4
পিছনে,p i . cʰ ɔ . n e,4
সিটে,s i . t e,4
লাগানো,l a . g a . n o,4
দূরে,d̪ u . r e,4
লাল,l a l,4
মহালয়া,m ɔ . h a . l ɔ . a,4
রান্না,r a n . n a,4
পাশ,p a ʃ,4
খেলে,kʰ e . l e,4
বাদ,b a d̪,4
যারা,ɟ a . r a,4
থাক,t̪ʰ a k,4
মানুষকে,m a . n u ʃ . k e,4
যদিও,ɟ o . d̪ i . o,4
খাতায়,kʰ a . t̪ a ʲ,4
যাক,ɟ a k,4
করেছিল,k o . r e . cʰ i . l o,4
চার,c a r,4
জেলেদের,ɟ e . l e . d̪ e r,4
ব্যবহার,b æ . b o . h a r,4
ভেসে,bʰ e . ʃ e,4
বজায়,b ɔ . ɟ a ʲ,4
ডাকতে,d a k . t̪ e,4
পড়া,p ɔ . ɽ a,4
নিরাপদ,n i . r a . p ɔ d̪,4
দেখুন,d̪ e . kʰ u n,4
বউয়ের,b o u̯ . e r,4
রাগী,r a . g i,4
আম্মা,a m . m a,4
পৌঁছে,p õ u̯ . cʰ e,4
বৌমা,b o u̯ . m a,4
বউকে,b o u̯ . k e,4
ক্ষেত,kʰ e t̪,4
চারা,c a . r a,4
লাগাবে,l a . g a . b e,4
করোনা,k o . r o . n a,4
দৃষ্টি,d̪ r i ʃ . t i,4
আলাদা,a . l a . d̪ a,4
কাল,k a l,4
টিম,t i m,4
প্রাচীন,p r a . c i n,4
টান,t a n,4
অবিশ্বাস্য,ɔ . b i ʃ . ʃ a ʃ . ʃ o,4
নেওয়া,n e o̯ . ʷ a,4
তাঁদের,t̪ ã . d̪ e r,4
খোঁজ,kʰ õ ɟ,4
থাকুন,t̪ʰ a . k u n,4
তোমাদের,t̪ o . m a . d̪ e r,4
ডাকুন,d a . k u n,4
মাঠে,m a . tʰ e,4
ফেলে,pʰ e . l e,4
রোগীকে,r o . g i . k e,4
সহমর্মিতা,ʃ ɔ . h o . m o r . m i . t̪ a,4
কিনুন,k i . n u n,4
নাই,n a i̯,4
নিষ্পাপ,n i ʃ . p a p,3
রঙের,r ɔ . ŋ e r,3
পৃথিবী,p r i . t̪ʰ i . b i,3
জানাতে,ɟ a . n a . t̪ e,3
ঘোর,gʰ o r,3
ঠান্ডা,tʰ a n . d a,3
ফিরল,pʰ i r . l o,3
রে,r e,3
কোন,k o n,3
পরিশ্রম,p o . r i s . s r o m,3
করলে,k o r . l e,3
সান্ত্বনা,ʃ a n . t̪ o . n a,3
নেমে,n e . m e,3
পাখি,p a . kʰ i,3
পারি,p a . r i,3
গিয়েছিলাম,g i . ʲ e . cʰ i . l a m,3
কান্না,k a n . n a,3
পারছিলাম,p a r . cʰ i . l a m,3
রইলাম,r o i̯ . l a m,3
বারবার,b a r . b a r,3
শূন্য,ʃ u n . n o,3
খুশি,kʰ u . ʃ i,3
জীবনে,ɟ i . b ɔ . n e,3
এসেছে,e . ʃ e . cʰ e,3
অনুভব,o . n u . bʰ ɔ b,3
ঘুরে,gʰ u . r e,3
থাকার,t̪ʰ a . k a r,3
অনুপ্রেরণা,o . n u p . p e . r o . n a,3
গর্ব,g ɔ r . b o,3
একসাথে,æ k . ʃ a . t̪ʰ e,3
নাস্তা,n a s . t̪ a,3
করেছেন,k o . r e . cʰ e n,3
কথাটা,k ɔ . t̪ʰ a . t a,3
কতটা,k ɔ . t̪ o . t a,3
দশ,d̪ ɔ ʃ,3
কেজি,k e . ɟ i,3
উচিত,u . c i t̪,3
ঘণ্টা,gʰ ɔ n . t a,3
আম্মু,a m . m u,3
পাই,p a i̯,3
বিশ্বাস,b i ʃ . ʃ a ʃ,3
অসম্ভব,ɔ . ʃ ɔ m . bʰ ɔ b,3
পেতে,p e . t̪ e,3
যাইহোক,ɟ a i̯ . h o k,3
জানিয়ে,ɟ a . n i . ʲ e,3
সম্ভবত,ʃ ɔ m . bʰ ɔ . b ɔ . t̪ o,3
চলাচল,c ɔ . l a . c ɔ l,3
যাচ্ছিল,ɟ a c . cʰ i . l o,3
শুকিয়ে,ʃ u . k i . ʲ e,3
নে,n e,3
অপেক্ষা,ɔ . p e k . kʰ a,3
আওয়াজ,a o̯ . a ɟ,3
প্রশ্নের,p r o ʃ . n e r,3
এতকিছু,æ . t̪ o . k i . cʰ u,3
থাকেন,t̪ʰ a . k e n,3
বিশ্রাম,b i s . r a m,3
নেন,n æ n,3
বলবেন,b o l . b e n,3
হলেন,h o . l e n,3
গল্প,g ɔ l . p o,3
খবর,kʰ ɔ . b o r,3
ব্যস্ত,b æ s . t̪ o,3
টানা,t a . n a,3
পানিতে,p a . n i . t̪ e,3
করছে,k o r . cʰ e,3
করছিল,k o r . cʰ i . l o,3
নির্দেশ,n i r . d̪ e ʃ,3
বোনের,b o . n e r,3
রাস্তায়,r a s . t̪ a ʲ,3
ভিজে,bʰ i . ɟ e,3
যেই,ɟ e i̯,3
উফ,u pʰ,3
ব্যথা,b æ . t̪ʰ a,3
নেতা,n e . t̪ a,3
পৌঁছায়,p õ u̯ . cʰ a ʲ,3
আরেকটু,a . r e k . t u,3
জানায়,ɟ a . n a ʲ,3
নিল,n i . l o,3
ছিলেন,cʰ i . l e n,3
নিচু,n i . c u,3
পড়লাম,p o ɽ . l a m,3
বরং,b ɔ . r o ŋ,3
ধারণা,d̪ʰ a . r o . n a,3
গরম,g ɔ . r o m,3
বংশের,b ɔ ŋ . ʃ e r,3
ঘুরতে,gʰ u r . t̪ e,3
পারল,p a r . l o,3
অনুরোধ,o . n u . r o d̪ʰ,3
শুনবেন,ʃ u n . b e n,3
বলেছিলেন,b o . l e . cʰ i . l e n,3
আসন,a . ʃ o n,3
বোধহয়,b o d̪ʰ . h ɔ ʲ,3
আছি,a . cʰ i,3
চারিদিকে,c a . r i . d̪ i . k e,3
এলাকায়,e . l a . k a ʲ,3
বিপর্যস্ত,b i . p ɔ r . ɟ o s . t̪ o,3
মজবুত,m o ɟ . b u t̪,3
মন্ত্রী,m o n . t̪ r i,3
আসবে,a ʃ . b e,3
পকেট,p ɔ . k e t,3
তেলাপিয়া,t̪ e . l a . p i . ʲ a,3
অভাব,ɔ . bʰ a b,3
হলেও,h o . l e o̯,3
তাতে,t̪ a . t̪ e,3
বুঝি,b u . ɟʰ i,3
প্রথমে,p r o . t̪ʰ o . m e,3
ছাতাটা,cʰ a . t̪ a . t a,3
খাতা,kʰ a . t̪ a,3
পারলে,p a r . l e,3
সংসারের,ʃ ɔ ŋ . ʃ a . r e r,3
এইসব,e i̯ . ʃ ɔ b,3
দেশ,d̪ e ʃ,3
পাড়ি,p a . ɽ i,3
তুলনায়,t̪ u . l o . n a ʲ,3
উপায়,u . p a ʲ,3
হায়,h a ʲ,3
যাই,ɟ a i̯,3
বিপদ,b i . p ɔ d̪,3
যেত,ɟ e . t̪ o,3
যাচ্ছি,ɟ a c . cʰ i,3
দক্ষিণ,d̪ o k . kʰ i n,3
জনপদ,ɟ ɔ . n o . p ɔ d̪,3
তবুও,t̪ o . b u . o,3
খিচুড়ি,kʰ i . c u . r i,3
দল,d̪ ɔ l,3
আসা,a . ʃ a,3
ছবি,cʰ o . b i,3
সরকারের,ʃ ɔ r . k a . r e r,3
দাবি,d̪ a . b i,3
পারেনি,p a . r e . n i,3
নেবে,n e . b e,3
আগেও,a . g e . o,3
দেখেছে,d̪ e . kʰ e . cʰ e,3
অধিকার,o . d̪ʰ i . k a r,3
খেটে,kʰ e . t e,3
খাওয়া,kʰ a o̯ . ʷ a,3
পরিবার,p o . r i . b a r,3
গাড়িটা,g a . ɽ i . t a,3
দেখলেন,d̪ e kʰ . l e n,3
খেল,kʰ e l,3
ড্রাইভার,d r a i̯ . bʰ a r,3
কল,k ɔ l,3
ফ্রি,pʰ r i,3
জরুরী,ɟ o . r u . r i,3
তখনও,t̪ ɔ . kʰ o n . o,3
পড়ালেখা,p ɔ . ɽ a . l e . kʰ a,3
শোনো,ʃ o . n o,3
এদিকে,e . d̪ i . k e,3
যাচ্ছ,ɟ a c . cʰ o,3
বন্ধু,b o n . d̪ʰ u,3
সেদিন,ʃ e . d̪ i n,3
হিসেবে,h i . ʃ e . b e,3
স্টেশনে,s t e . ʃ ɔ n,3
সম্মান,ʃ ɔ m . m a n,3
নেওয়ার,n e o̯ . ʷ a r,3
বাসে,b a . s e,3
যাওয়া,ɟ a o̯ . ʷ a,3
কথাই,k ɔ . t̪ʰ a . i,3
আসার,a . ʃ a r,3
বিষয়ে,b i . ʃ ɔ . ʲ e,3
গ্রহণ,g r o . h o n,3
রাখা,r a . kʰ a,3
হারানোর,h a . r a . n o r,3
সবকিছু,ʃ ɔ b . k i . cʰ u,3
নদী,n o . d̪ i,3
চড়ে,c ɔ . ɽ e,3
প্রায়,p r a ʲ,3
দুটো,d̪ u . t o,3
চারপাশে,c a r . p a . ʃ e,3
পাওয়ার,p a o̯ . ʷ a r,3
যেখানে,ɟ e . kʰ a . n e,3
দিদি,d̪ i . d̪ i,3
শাড়ি,ʃ a . ɽ i,3
দিয়েছিলেন,d̪ i . ʲ e . cʰ i . l e n,3
প্রথা,p r o . t̪ʰ a,3
অফিসের,ɔ . pʰ i . s e r,3
নিলাম,n i . l a m,3
একুশে,e . k u . ʃ e,3
শুভ,ʃ u . bʰ o,3
স্ট্যাটাস,s t æ . t a s,3
