tri_gram,freq,example
াইহ,1,['যাইহোক']
এইস,1,['এইসব']
াইভ,4,"['ড্রাইভার', 'লাইভ', 'ড্রাইভিং']"
াইল,8,"['চাইল', 'মোবাইলে', 'চাইলে']"
াইন,7,"['ফাইনাল', 'হারাইনি', 'পাইনি']"
বইছ,1,['বইছে']
াইত,2,"['গাইতে', 'বাইতে']"
াইফ,1,['লাইফ']
এইব,1,['এইবার']
এইখ,2,"['এইখানে', 'এইখানের']"
াইব,1,['গাইবে']
াইজ,1,['এক্সারসাইজ']
থইথ,1,['থইথই']
াইম,3,"['সাইমুম', 'টাইমে', 'সেলাইমেশিনটা']"
হইন,1,['হইনি']
আইল,1,['আইলা']
ুইব,1,['দুইবেলা']
এইট,1,['এইট']
েইজ,2,"['ডেইজ', 'পেইজে']"
াইস,1,['প্যারালাইসড']
ুইয়,1,['শুইয়ে']
ুইট,1,['দুইটা']
ুইচ,2,"['সুইচড', 'সুইচটা']"
াইছ,1,['চাইছে']
ুইজ,1,['দুইজন']
উইক,1,['উইকেট']
েইল,2,"['মেইলে', 'মেইল']"
রইয়,1,['বরইয়ের']
আইন,3,"['আইনশাস্ত্রের', 'আইন', 'আইনের']"
বইয়,1,['বইয়ের']
এইয,1,['এইযে']
িউজ,1,['নিউজ']
বউয়,1,['বউয়ের']
বউক,1,['বউকে']
াউক,1,['কাউকে']
েউই,1,['কেউই']
িউট,1,"['কম্পিউটার', 'নিউট্রনের']"
মউদ্দ,1,['জসীমউদ্দীন']
েউক,1,['ঢেউকে']
েউয়,1,['ঢেউয়ের']
বউম,1,['বউমা']
াউন,1,['লকডাউন']
িউর,1,['শিউরে']
াউম,1,['হাউমাউ']
বউও,1,['বউও']
আউট,1,['অলআউট']
িউট্র,1,['নিউট্রনের']
িএস,1,['বিসিএসের']
তএব,1,['অতএব']
“এত,1,['“এত']
াওয়,14,"['যাওয়াটা', 'খাওয়াব', 'আবওহাওয়ার']"
েওয়,6,"['নেওয়া', 'দেওয়ার', 'দেওয়া']"
হওয়,2,"['হওয়ার', 'হওয়া']"
আওয়,2,"['আওয়াজ', 'আওয়াজই']"
িওগ,2,"['এনজিওগুলো', 'এনজিওগুলোও']"
আওড়,1,['আওড়াতে']
চওড়,1,['চওড়া']
বওহ,2,"['আবওহাওয়ার', 'আবওহাওয়া']"
েকে,11,"['সেকেন্ড', 'ডেকে', 'ঢেকে']"
একট,4,"['একটু', 'একটানা', 'একটা']"
াকে,32,"['ঢাকাকে', 'জ্যাকেট', 'বৌমাকে']"
াকি,6,"['নাকি', 'ডাকাডাকিতে', 'বাকি']"
ওকে,2,"['ওকেও', 'ওকে']"
াকব,4,"['থাকবেন', 'ডাকবে', 'থাকবে']"
জকে,1,['আজকে']
িকে,21,"['দম্পতিকে', 'ক্রিকেটার', 'শিশুটিকে']"
াকত,3,"['থাকতে', 'থাকত', 'ডাকতে']"
একা,5,"['একাত্মতাকেই', 'একা', 'একাগ্র']"
একজ,1,['একজন']
সকা,4,"['সকালেই', 'সকালে', 'সকালের']"
ইকে,3,"['উইকেট', 'সবাইকে', 'সাইকেলের']"
আকা,5,"['আকাশের', 'আকারে', 'আকাঙ্ক্ষা']"
ুকে,12,"['নিতুকে', 'বন্ধুকে', 'কোনোকিছুকে']"
াকা,20,"['ঢাকাকে', 'তাকাতে', 'কাছাকাছি']"
ীকা,2,"['স্বীকার', 'আগামীকাল']"
ৌকা,5,"['নৌকার', 'নৌকায়', 'নৌকা']"
াকর,4,"['চাকরি', 'ব্যাকরণের', 'ব্যাকরণে']"
একদ,4,"['একদিনও', 'একদিনে', 'একদল']"
ুক্ষণ,2,"['কিছুক্ষণের', 'কিছুক্ষণ']"
নকে,4,"['কানকে', 'জীবনকে', 'প্রশাসনকে']"
াকল,5,"['ডাকলাম', 'থাকলেও', 'থাকলে']"
দক্ষে,1,['পদক্ষেপ']
ীক্ষা,4,"['পরীক্ষার', 'পরীক্ষাটা', 'পুনঃপরীক্ষা']"
ষকে,3,"['মানুষকে', 'মানুষকেও', 'দোষকে']"
উকে,3,"['ঢেউকে', 'বউকে', 'কাউকে']"
াকু,6,"['ঠাকুর', 'ডাকুন', 'থাকুন']"
ীকে,6,"['আসামীকে', 'কর্মীকে', 'স্বামীকে']"
একস,2,"['একসাথে', 'একসময়']"
ুকি,2,"['শুকিয়ে', 'ঢুকিয়ে']"
েক্ষা,1,['অপেক্ষা']
তকি,1,['এতকিছু']
েকট,4,"['কয়েকটা', 'আরেকটা', 'আরেকটু']"
পকে,1,['পকেট']
দক্ষি,2,"['দক্ষিন', 'দক্ষিণ']"
রকা,7,"['নজরকাড়া', 'সরকার', 'একপ্রকার']"
িকা,13,"['তালিকা', 'পত্রিকা', 'ভূমিকা']"
বকি,1,['সবকিছু']
একু,2,"['একুশে', 'একুশ']"
োকে,5,"['তোকে', 'মানুষগুলোকে', 'লোকের']"
ুক্তি,3,"['মুক্তির', 'মুক্তিযোদ্ধারা', 'মুক্তি']"
সকল,1,['সকলের']
ঁকে,1,['সেঁকে']
লকন,1,['ব্যালকনিতে']
টকা,2,"['আটকাতে', 'বোটকা']"
ভক্তক,1,['ভক্তকে']
একগ,1,['একগাদা']
ৎকা,5,"['সাক্ষাৎকারটা', 'চিৎকার', 'সাক্ষাৎকার']"
রকম,1,['এরকম']
হকা,3,"['সহকারে', 'হকারদের', 'মহকাশের']"
েকজ,1,['কয়েকজন']
নকা,5,"['এখানকার', 'যাত্রীবহনকারী', 'আজীবনকাল']"
িকশ,1,['রিকশা']
িকই,1,['ঠিকই']
েকস,1,['টেকসই']
মকে,1,['চমকে']
িক্ষি,2,"['শিক্ষিত', 'উচ্চশিক্ষিত']"
ীকত,1,['সাহসীকতার']
রকে,11,"['স্যারকে', 'পরিবারকে', 'সরকারকে']"
শকা,1,['ফোঁশকা']
ুকন,2,"['শুকনা', 'শুকনো']"
লকা,2,"['হালকা', 'লকার']"
িক্ষা,3,"['শিক্ষা', 'শিক্ষাগুরু', 'শিক্ষার']"
একব,2,"['একবার', 'একবারও']"
ুকু,9,"['সবটুকু', 'সুকুমার', 'সময়টুকু']"
ুকট,1,['বুকটা']
মকর,1,['নামকরা']
শক্তি,4,"['স্বরূপশক্তি', 'শক্তিবর্ধনীয়', 'শক্তি']"
োকন,1,['অবলোকন']
াকো,1,['থাকো']
বকে,2,"['বকে', 'উদ্ভাবকের', 'ভ্রাতৃত্বকে']"
াক্কা,2,"['তোয়াক্কা', 'ধাক্কা']"
িকত,4,"['আন্তরিকতা', 'মানসিকতায়', 'টিকতে']"
াক্তা,1,['ডাক্তার']
আক্কে,1,['আক্কেল']
নক্ষত্র,2,"['নক্ষত্র', 'নক্ষত্রের']"
ঐক্যম,2,"['ঐক্যমত্য', 'ঐক্যমত']"
অক্লা,1,['অক্লান্ত']
এক্সা,1,['এক্সারসাইজ']
টকে,1,['আটকে']
িকম,2,"['টেলিকম', 'ঠিকমতো']"
ঁকড়,1,['কুঁকড়ে']
িকর্ত,2,"['সৃষ্টিকর্তা', 'সৃষ্টিকর্তার']"
োকা,4,"['দোকান', 'দোকানে', 'মোকাবিলা']"
োকি,3,"['কোনোকিছুকে', 'আলোকিত', 'কোনোকিছুই']"
িক্ষু,1,['ক্ষুদ্রাতিক্ষুদ্র']
রক্তব,1,['রক্তবিন্দুর']
তক্ষণ,3,"['ততক্ষণ', 'কতক্ষণ', 'যতক্ষণ']"
ভক্তদ,1,['ভক্তদের']
শকে,2,"['পরিবেশকে', 'দেশকে']"
ংক্ষি,1,['সংক্ষিপ্ত']
একে,4,"['একে', 'একেবারেই', 'একেই']"
চকে,1,['মচকে']
চকা,1,['ফুচকা']
বকা,1,"['বিশ্বকাপ', 'বিশ্বকাপের', 'বকা']"
এক্সি,1,['এক্সিডেন্ট']
আক্ষে,1,['আক্ষেপ']
ুকর,1,['টুকরা']
তকত,1,['বিশ্বাসঘাতকতা']
ুক্তা,1,['মুক্তাগাছার']
িকি,2,"['টিকিটাও', 'টিকিট']"
ংকর,2,"['ভয়ংকর', 'তারাশংকর']"
আকু,1,['আকুতি']
লক্ষে,1,['উপলক্ষে']
রক্ষা,2,"['রক্ষায়', 'রক্ষা']"
াক্ষা,2,"['সাক্ষাৎকারটা', 'সাক্ষাৎকার']"
জকা,1,['আজকাল']
রক্তই,1,['বিরক্তই']
েক্রে,1,['সেক্রেটারির']
ুকত,1,['ঢুকতে']
েকি,2,"['চেকিং', 'ট্রেকিংয়ের']"
ংকী,1,['সংকীর্ণতাকে']
পক্ষে,4,"['প্রকৃতপক্ষে', 'পিতৃপক্ষের', 'দেবীপক্ষের']"
ীকৃ,2,"['স্বীকৃতি', 'স্বীকৃত']"
এক্ষে,1,['এক্ষেত্রে']
াক্সে,1,['রিলাক্সেশনের']
খকে,1,['প্রমূখকে']
িকট,3,"['টিকটক', 'নিকট', 'দিকটায়']"
পক্ষপ,1,['পক্ষপাতি']
পকূ,4,"['উপকূলবাসীর', 'উপকূলীয়', 'উপকূলবাসী']"
েকো,1,['যেকোনো']
ৈকত,1,['সৈকতে']
েক্ষভ,1,['নিরপেক্ষভাবে']
নকি,1,['এমনকি']
একম,1,['একমাসের']
ৌকশ,1,['চৌকশ']
য়ক্ষম,1,['ক্রয়ক্ষমতা']
েকব,2,"['কয়েকবার', 'অনেকবার']"
ুকূ,1,['অনুকূলেই']
ংকা,3,"['আশংকা', 'আশংকায়', 'সাহংকারের']"
দক্ষত,1,['দক্ষতার']
মকা,2,"['দমকা', 'গ্রীষ্মকালে', 'নিয়মকানুন']"
পকর,1,['উপকরণগুলো']
েকক,1,['প্রত্যেককে']
ককে,2,"['প্রত্যেককে', 'লোককেই']"
তকো,1,['স্নাতকোত্তর']
ুক্রব,1,['শুক্রবারে']
ৌকে,1,['বৌকে']
ংকে,1,['ব্যাংকে']
ঁকজ,1,['জাঁকজমক']
েকা,1,['মেকানিকাল']
লকড,1,['লকডাউন']
তকা,2,"['গতকাল', 'শীতকাল']"
ঁকি,1,['উঁকি']
রক্তা,1,['রক্তাক্ত']
ংকট,1,['সংকট']
একপ,1,"['একপ্রকার', 'একপাশে']"
ুকা,2,"['শুকাতে', 'গুরুকাজ']"
িকর,2,"['পুষ্টিকর', 'সৃষ্টিকর্তা', 'শ্রমিকরা']"
নক্ষে,1,['ধানক্ষেতের']
েকদ,1,['কয়েকদিন']
েক্ষে,1,['সেক্ষেত্রে']
লকে,4,"['কালকের', 'অন্তঃস্থলকে', 'নাবিলকে']"
োকক,1,['লোককেই']
াক্তি,1,['ব্যাক্তি']
াকছ,1,['ডাকছে']
এক্সপ্র,1,['এক্সপ্রেস']
থকে,1,"['স্বার্থকেন্দ্রিক', 'থকে']"
লকু,2,"['অকালকুষ্মাণ্ড', 'ব্যালকুনিতে']"
একত্র,1,['একত্রিত']
ঁকা,1,['ফাঁকা']
াক্যে,1,['নীতিবাক্যে']
িক্সা,1,['রিক্সায়']
োকট,1,['লোকটাকে']
বক্সে,1,['বক্সে']
িক্রি,2,"['প্রতিক্রিয়া', 'বিক্রি']"
অক্ষত,1,['অক্ষত']
িক্রে,1,['বিক্রেতাকে']
িক্রয়,1,['বিক্রয়']
এক্সপ,1,"['এক্সপার্টের', 'এক্সপ্রেস']"
চক্রা,1,['চক্রাকারে']
াক্যগ,1,['বাক্যগঠন']
ূক্ষ্মভ,1,['সূক্ষ্মভাবে']
অক্ষর,1,['অক্ষরটা']
াক্ষর,1,['সাক্ষর']
ঁকু,1,['আঁকুন']
াক্পট,1,['বাক্পটু']
অকৃ,1,['অকৃষ্ণকর্মা']
িক্ষো,1,['বিক্ষোভ']
াকস,1,['ভ্যাকসিন']
একল,1,['একলব্যের']
একই,1,['একই']
েক্ট্রন,1,['ইলেক্ট্রন']
ূক্ষ্মত,2,"['সূক্ষ্মতা', 'সূক্ষ্মতম']"
অকা,3,"['অকালপক্বতা', 'অকালকুষ্মাণ্ড', 'অকাট্য']"
পক্বত,1,['অকালপক্বতা']
ঐকা,3,"['ঐকাত্ম্য', 'ঐকান্তিক', 'ঐকাগ্র্য']"
তকট,1,['কতকটা']
োক্তি,1,['ব্যঙ্গ্যোক্তির']
ৎকৃ,1,['উৎকৃষ্ট']
াক্ষ্যি,1,['সাক্ষ্যি']
ংক্ষে,1,['সারসংক্ষেপ']
েকু,1,['ঢেকুর']
াকট,1,['প্র্যাকটিস']
য়কে,1,['সম্প্রদায়কে']
ৎকর্ষ্য,1,['ঔৎকর্ষ্য']
ৈকট্য,1,['নৈকট্যধ্বনির']
লক্ষণ,1,['লক্ষণ']
েক্ট্রর,1,['ইলেক্ট্রর']
ংকল,1,['সংকলিত']
াক্সি,1,['ট্যাক্সি']
লক্ষ্মী,1,['লক্ষ্মী']
তকে,1,"['খাতকের', 'ভক্তকে']"
চক্রব,1,['চক্রবর্তী']
ঐকক,1,['ঐককোমততো']
ককো,1,['ঐককোমততো']
সক্তি,1,['আসক্তি']
েক্কা,1,['টেক্কা']
আক্রা,1,['আক্রান্ত']
নকো,2,"['আনকোরা', 'ননকোর']"
চকি,1,['সচকিত']
পক্ষয়,1,['অপক্ষয়ের']
িক্ক্রি,1,['প্রোতিক্ক্রিয়া']
িক্ষণ,1,['অতিক্ষণিক']
একপ্র,1,['একপ্রকার']
ুক্মি,1,['রুক্মিণী']
ইক্ষ্বা,1,['ইক্ষ্বাকু']
অকি,1,['অকিল্বিষ']
অকল্ম,1,['অকল্মষ']
এখন,4,"['এখনই', 'এখন', 'এখনো']"
তখন,4,"['তখনও', 'তখনো', 'তখনকার']"
েখি,6,"['দেখি', 'লেখালেখিও', 'দেখিনি']"
েখে,12,"['রেখেছে', 'দেখেছিল', 'দেখেই']"
যখন,1,['যখন']
েখত,1,['দেখতে']
ুখে,4,"['সুখে', 'মুখে', 'মুখের']"
েখল,5,"['দেখলেন', 'দেখলাম', 'দেখলে']"
কখন,4,"['কখনোই', 'কখন', 'কখনও']"
েখা,26,"['শেখা', 'লেখাপড়া', 'পড়ালেখা']"
এখা,3,"['এখানকার', 'এখানে', 'এখান']"
িখু,2,"['নিখুঁত', 'লিখুন']"
োখে,2,"['চোখের', 'চোখে']"
াখা,5,"['ঘণ্টাখানেক', 'রাখা', 'রাখার']"
েখু,1,['দেখুন']
াখি,6,"['পাখিদের', 'পাখিটার', 'পাখি']"
াখু,2,"['মহাখুশি', 'রাখুন']"
াখে,3,"['রাখে', 'রাখেননি', 'রাখেন']"
াখ্যা,1,['ব্যাখ্যা']
ংখ্যা,1,['সংখ্যা']
াখত,2,"['রাখত', 'রাখতে']"
িখি,1,['লিখিত']
ইখা,2,"['এইখানে', 'এইখানের']"
িখে,2,"['লিখেছেন', 'শিখেছেন']"
েখব,3,"['দেখবেন', 'দেখব', 'দেখবি']"
ুখও,1,['সুখও']
জখা,1,['বাজখাঁই']
ঃখে,1,['দুঃখে']
দখো,1,['সুদখোর']
আখে,1,['আখের']
েখছ,2,"['দেখছিস', 'দেখছি']"
িখা,1,['কাবিখা']
েখো,3,"['দেখো', 'রেখো', 'লেখো']"
ুখো,1,['মুখোমুখি']
ুখি,1,['মুখোমুখি']
ূখক,1,['প্রমূখকে']
শখা,1,['পঁচিশখানা']
িখো,1,['নিখোঁজ']
ুখট,1,['হাসিমুখটা']
েখভ,1,['দেখভাল']
ঝখা,1,['মাঝখানে']
িখ্যে,1,['আদিখ্যেতা']
ুখী,2,"['ঊর্ধ্বমুখী', 'নিম্নমুখী']"
অখণ্ড,1,['অখণ্ড']
ৎখা,1,['উৎখাত']
ূখর,1,['মূখর']
এখু,1,['এখুনি']
িখত,1,['শিখতে']
অখা,1,['অখানেও']
আগে,5,"['আগেই', 'আগের', 'আগেও']"
এগু,2,"['এগুতে', 'এগুলো']"
াগে,4,"['লাগে', 'ত্যাগেই', 'বিভাগের']"
াগছ,2,"['লাগছিল', 'লাগছে']"
য়গা,2,"['জায়গা', 'জায়গাটার']"
েগু,5,"['যেগুলো', 'সেগুলো', 'সেগুন']"
আগা,2,"['আগামী', 'আগামীকাল']"
েগে,4,"['বেগে', 'হয়েগেছে', 'রেগে']"
াগু,6,"['লতাগুল্ম', 'শিক্ষাগুরু', 'খোলাগুলো']"
াগা,11,"['বাগান', 'লাগাবে', 'লাগা']"
াগী,1,['রাগী']
োগী,2,"['রোগীকে', 'রোগীর']"
িগত,1,['ব্যক্তিগত']
াগর,4,"['সুনাগরিকের', 'সাগরে', 'সাগরের']"
ষগু,3,"['মানুষগুলোকে', 'মানুষগুলোর', 'মানুষগুলো']"
সগৌ,1,['সগৌরবে']
াগ্যব,1,['ভাগ্যবতী']
কগা,1,['একগাদা']
াগল,4,"['ছাগল', 'লাগলেন', 'লাগলো']"
ুগত,1,['ভুগতে']
নগণ,1,['জনগণের']
োগদ,1,['যোগদান']
াগব,1,['লাগবে']
োগ্যত,1,['যোগ্যতা']
ুগে,1,['যুগের']
আগু,1,['আগুন']
িগু,8,"['জম্বিগুলো', 'অনুভূতিগুলো', 'রুটিগুলো']"
োগে,5,"['ভোগে', 'সহযোগে', 'দুর্যোগের']"
এগি,1,['এগিয়ে']
ছগু,1,['গাছগুলোর']
িগা,1,['গালিগালাজ']
াগি,2,"['লাগিয়ে', 'রাগারাগি']"
াগদ,1,['বাগদা']
ওগু,3,"['এনজিওগুলো', 'ওগুলো', 'এনজিওগুলোও']"
াগত,1,['লাগতে']
িগ্রস্ত,1,['ক্ষতিগ্রস্ত']
নগু,1,['দিনগুলো']
ড়গড়,1,['দোড়গড়ায়']
ৃগা,1,['ফুলবনেৃৃগান']
তগু,1,['এতগুলো']
োগা,2,"['স্লোগান', 'ভোগান্তি']"
জগু,1,['কাজগুলো']
মগম,1,['গমগম']
এগো,3,"['এগোতেই', 'এগোতে', 'এগোলো']"
লগু,4,"['ভুলগুলো', 'সম্বলগুলো', 'চুলগুলো']"
আগস্ট,1,['আগস্ট']
াগ্রা,1,['ইনস্টাগ্রামে']
ণগু,1,['উপকরণগুলো']
ুগি,1,['জুগিয়েছিল']
অগ্রী,1,['অগ্রীম']
হগন,1,['মেহগনি']
াগ্রস্ত,1,['দুর্দশাগ্রস্ত']
াগ্রহ,1,['সাগ্রহে']
িগল,1,['অলিগলিতে']
াগ্যে,1,['সৌভাগ্যের']
াগজ,3,"['কাগজটা', 'কাগজের', 'কাগজে']"
অগত্য,1,['অগত্যা']
ংগ্রহ,2,"['সংগ্রহে', 'সংগ্রহ']"
ংগ্রা,1,['সংগ্রাম']
াগপ,1,['ব্যাগপত্র']
ুগন্ধ,1,['সুগন্ধ']
াগও,1,['রাগও']
সগু,1,['বাসগুলো']
ভগ্না,1,['ভগ্নাংশ']
রগু,1,['পাথরগুলো']
ুগ্ধত,1,['বিমুগ্ধতা']
াগ্মি,1,['বাগ্মিতার']
ভগব,2,"['ভগবানের', 'ভগবান']"
মগ্রী,1,['প্রসাধনসামগ্রী']
জগত,1,['সৌরজগত']
অগ্ন্যু,2,"['অগ্ন্যুদ্গার', 'অগ্ন্যুদ্গম']"
আগ্নে,2,"['আগ্নেয়', 'আগ্নেয়াস্ত্র']"
ঋগ্বে,1,['ঋগ্বেদ']
অগ্রস,1,['অগ্রসর']
িগ্বি,1,['দিগ্বিজয়']
দগ্নি,1,['জমদগ্নি']
ংগঠ,1,['সংগঠনের']
অগস্ত্য,1,['অগস্ত্য']
েঘে,1,['মেঘে']
াঘ্রা,1,['অনাঘ্রাত']
সঘা,1,['বিশ্বাসঘাতকতা']
েঘল,1,['মেঘলা']
াঘা,3,"['কষাঘাতে', 'রাস্তাঘাট', 'কষাঘাত']"
াঘু,1,['কানাঘুষা']
িঘড়,1,['তড়িঘড়ি']
তঘড়,1,['হাতঘড়ি']
তঘ্নত,1,['কৃতঘ্নতার']
েঘম,1,['মেঘমালা']
মঘি,1,['নিমঘি']
অঘা,1,['অঘাকান্ত']
েঙে,1,['ভেঙে']
রঙে,1,['রঙের']
াঙ্গল,1,['লাঙ্গল']
াঙল,1,['ভাঙল']
েঙ্গে,1,['ভেঙ্গে']
াঙ্ক্ষা,1,['আকাঙ্ক্ষা']
সঙ্গে,2,"['সঙ্গের', 'সঙ্গেই']"
শঙ্কা,2,"['আশঙ্কায়', 'আশঙ্কা']"
াঙে,1,['ভাঙেনি']
বঙ্গে,1,['বঙ্গের']
য়ঙ্কর,1,['ভয়ঙ্কর']
িঙ্গা,1,['জিঙ্গাসা']
াঙা,2,"['বাঙালিদের', 'প্রাণরাঙা']"
শঙ্কি,1,['শঙ্কিত']
াঙ্কন,1,['চিত্রাঙ্কন']
ৃঙ্খল,1,['শৃঙ্খলা']
াঙ্ক্তে,1,['অপাঙ্ক্তেয়']
লঙ্ঘন,2,"['লঙ্ঘন', 'অলঙ্ঘনীয়']"
রঙ্গে,1,['তরঙ্গের']
াঙ্ক্ষণ,1,['কাঙ্ক্ষণীয়']
হঙ্গক,1,['বিহঙ্গকে']
তঙ্কি,1,['আতঙ্কিত']
জঙ্গল,1,['জঙ্গলে']
াঙ্গী,1,['জাহাঙ্গীরের']
াঙ্গে,1,['সর্বাঙ্গে']
অঙ্ঘ্রি,1,['অঙ্ঘ্রি']
াঙ্ময়,1,['বাঙ্ময়']
াঙ্মু,1,['পরাঙ্মুখ']
াচ্ছে,4,"['পাচ্ছেন', 'যাচ্ছে', 'খাচ্ছে']"
াচা,5,"['চাচারা', 'চাচাদের', 'চাচার']"
হচ্ছে,1,['হচ্ছে']
বচে,1,['সবচেয়ে']
হচ্ছি,1,['হচ্ছিল']
ঁচে,1,['বেঁচে']
িচে,1,['নিচে']
ইচ্ছা,3,"['ইচ্ছা', 'ইচ্ছার', 'ইচ্ছামতো']"
াচী,1,['প্রাচীন']
উচি,1,['উচিত']
াচল,1,['চলাচল']
াচ্ছি,7,"['পাচ্ছি', 'যাচ্ছি', 'যাচ্ছিল']"
িচু,3,"['খিচুড়ি', 'নিচু', 'সিচুয়েশন']"
িচ্ছি,3,"['দিচ্ছিলাম', 'দিচ্ছি', 'দিচ্ছিলেন']"
উচ্চা,1,['উচ্চারণ']
লচে,1,['লালচে']
ঁচা,7,"['খাঁচা', 'বাঁচাবে', 'খাঁচার']"
াচন,1,['নির্বাচনের']
েচ্ছা,2,"['শুভেচ্ছা', 'শুভেচ্ছাবার্তা']"
িচ্ছে,2,"['দিচ্ছে', 'নিচ্ছে']"
াচে,3,"['ম্যাচে', 'ম্যাচের', 'ম্যাচেও']"
ুচি,2,"['লুচিগুলো', 'লুচি']"
মচ্চা,1,['সমচ্চারিত']
িচল,1,['বিচলিত']
ংচি,3,"['গাংচিলের', 'গাংচিল', 'ভেংচি']"
িচি,4,"['স্মৃতিচিহ্ন', 'পরিচিতদের', 'পরিচিতদেরকে']"
অচি,1,['অচিরেই']
মচক,1,['মচকে']
ুচক,1,['ফুচকা']
ঁচু,1,['উঁচু']
েচা,1,['বেচাও']
াচ্চা,4,"['বাচ্চার', 'বাচ্চাদের', 'বাচ্চাটাকে']"
আচ্ছা,1,['আচ্ছা']
োচ্ছ্বা,2,"['জলোচ্ছ্বাস', 'জলোচ্ছ্বাসে']"
পচা,2,"['চুপচাপ', 'পচা']"
ঁচট,2,"['পাঁচটায়', 'পাঁচটা']"
