n_gram,freq
ঘণ্টা,3
গণে,1
াণে,2
রণট,1
ষণে,1
রণে,4
ভণ্ডা,1
ষণ্নব,1
কণ্ঠে,1
াণপ্র,1
মণ্ডা,2
ষণা,1
ফণী,1
গণম,1
ভণি,1
াণী,1
িণী,2
ড়ণা,1
িণত,1
চণ্ডত,1
রণগ,1
রণী,1
ুণব,1
েণি,1
েণী,1
পণ্যগ,1
গণ্ডগ,1
লণ্ঠন,1
ুণ্ঠ্যম,1
ুণ্ঢন,2
রণ্ময়,1
াণ্মা,1
হণয,1
রণই,1
ঋণম,1
াণর,1
ুণ্যে,1
বণত,1
রতে,10
মতো,9
লতে,7
হতে,2
িতে,26
েতে,8
খতে,3
বতে,2
কতে,5
নতু,2
িতর,3
াতে,41
সতে,3
য়তো,2
ঠতে,1
হতো,1
এতে,1
নতে,4
রতা,2
টতে,2
ইত্যা,1
ড়তে,7
াতা,14
িতা,7
কতট,2
এতক,1
েতা,8
মতে,2
য়তা,2
উত্তর,2
ৃত্যু,2
অতি,5
াতট,1
টতি,1
বতী,4
আত্মী,1
হতব,1
াতি,9
ৈতি,1
গতে,2
ইতে,2
াতস্থ,1
োতে,5
ীতে,2
হতা,4
মতি,1
কতা,5
াতন,3
াত্রা,2
ুতে,2
ঝতে,1
ুতি,3
েতু,1
উত্তে,1
নতা,3
াতর,1
বতি,1
নত্রি,1
োতল,1
ুত্বপ,1
ঐতি,2
লতো,2
লতা,8
কতক্ষ,1
িতদ,2
যতই,1
ততই,1
ঁতস্য,1
ঁতে,2
জতে,2
েত্রী,2
াতক,3
োত্তর,2
ুতা,1
োতদ,1
োতো,1
ঁতর,2
শতা,3
ষতে,1
িতী,1
ৃতী,1
াত্রী,5
এতট,1
এতগ,1
যতক্ষ,1
ততক্ষ,1
বতা,2
মতা,2
ৃতি,6
িতৃ,2
অতএ,1
িত্বও,1
আত্মা,1
েত্রে,2
ূতি,3
য়ত্রি,1
ইতর,1
াত্রই,1
এতব,1
পত্রি,2
নতি,1
অতল,1
ণতি,1
নতও,1
ঁতা,3
াতৃ,3
চতে,1
পত্রে,1
ৃতজ্ঞ,1
িত্রা,1
ইতস্ত,1
েতন,3
িতি,5
রত্বে,1
গতক,1
ৃতে,1
পতি,1
যতব,1
ততব,1
অত্যন্ত,1
লতু,1
রতো,1
নতম,1
সতত,1
ততা,1
াতঘ,1
গত্যা,1
কত্রি,1
ইতি,2
আতঙ্ক,2
ীতি,1
ড়তা,1
পত্যগ,1
েতর,1
িতু,2
লতি,1
াতল,1
আত্মগ্ল,1
ৃতঘ্ন,1
সত্যে,1
ৃতপ,1
রত্নগ,1
লতম,1
ৃত্বক,1
কতক,1
াতদ,1
াত্ত্বি,1
উত্ত্যক্ত,1
উত্থা,1
পতন,1
াতন্ত্র্য,1
অতর্ক্য,1
িত্র্যে,1
িত্তে,2
পত্রট,1
ীতক,1
ঋতু,1
উত্তম,1
াত্মত,1
মতত,1
ততো,1
অতঃ,1
আত্মদ,1
ুতর,1
রতল,1
রতি,1
োতি,1
ণতা,1
কথা,6
াথে,2
োথা,3
াথা,6
ৃথি,2
অথচ,1
তথা,1
অথব,1
িথি,2
ৃথা,1
ইথই,1
ঁথি,1
মথম,1
যথা,2
াথর,1
িথ্যা,1
পথি,1
ৃথ্বী,1
অথৈ,1
াদে,18
যদি,2
াদি,6
ুদ্রে,3
িদি,6
াদা,11
ওদে,1
েদে,7
লদি,1
কদি,4
এদে,2
পদক্ষ,1
পদ্মা,2
ঁদে,4
এদি,2
েদি,3
নদী,2
উদা,1
াদন,2
ুদা,3
ুদ্ধি,1
িদা,3
পদে,4
ুদি,4
কদর,1
গদা,2
ঁদূ,1
উদ্দে,1
রদা,1
িদ্ধা,2
আদা,1
াদর,2
ওদি,1
িদশ,2
ীদে,6
োদি,1
ুদ্রা,1
তদে,2
আদৌ,1
োদও,1
আদে,1
াদ্নি,1
িদে,5
ুদে,3
ুদস,1
ুদখ,1
তদা,1
রদে,2
কদল,1
য়দি,2
ভদ্রত,1
উদ্যত,1
বদঅ,1
োদয়,1
ষদে,2
িদ্রু,1
ুদ্ধভ,1
উদ্দী,1
লদে,1
উদ্যো,1
মদি,1
ুদূ,1
ুদ্রক,1
উদ্ধা,2
াদপ,1
ঈদে,1
িদ্যা,2
পদধ্ব,1
মদে,1
ুদও,1
অদ্ভু,2
ৃদ্ধি,3
ইদা,1
াদু,1
নদি,1
োদে,1
াদব,1
োদ্ধা,2
আদি,1
ুদ্রণ,1
িদ্বা,2
নদে,1
সদ্ব্যব,1
উদ্ভূ,1
জদা,1
িদ্যম,1
পদল,1
উদ্ভা,1
েদী,1
ৌদি,1
পদা,1
িদগ্ধ,1
ুদ্গম,1
ুদ্গা,1
তদৃ,1
উদ্গা,1
উদ্ঘা,1
তদ্দ্বা,1
উদ্ভ্রা,1
িদ্র্যর,1
উদর,1
অদৃ,1
ুদৈ,1
মদগ্ন্য,1
মদগ্ন,1
েদন,1
িদী,1
আদর্শ,1
সদস্য,1
ুদ্ধে,1
মধ্যে,3
ুধু,1
াধা,2
ঁধে,4
োধহ,1
অধি,3
াধ্যম,1
শধর,1
েধে,1
াধি,2
াধন,2
ুধর্ম,1
াধী,1
লধা,2
বধা,1
ুধা,3
িধা,6
বধি,1
ঁধা,2
দধ্বন,1
মধ্যপ,1
োধী,1
আধা,1
িধণ্ট,1
ৌধু,1
ৃধ্নু,1
াধ্মা,1
আধি,1
ৈধর্ম্য,1
ঁধু,1
োনো,7
িনি,19
িন্তু,1
অনে,4
মনে,5
ানু,12
পনা,5
ুনে,7
পনি,1
ুন্দর,2
েনে,6
ানে,38
ানা,31
খনো,4
বনে,6
ানি,13
য়নি,5
মনট,1
োনট,2
ানত,2
ৌন্দর্য,2
ুনত,3
োনক,1
খনই,1
পনে,2
শনম,1
ছনে,1
ানো,27
ান্না,2
োনা,9
িনু,1
ান্ডা,1
ান্ত্বন,1
অনু,18
োনে,7
ুনব,2
মন্ত্রী,1
লনা,1
জনপ,1
েনি,4
খনও,2
বন্ধু,6
শনে,4
টনা,2
হনা,4
আনত,1
ুনল,1
িন্তা,5
েনশ,2
কনি,1
ইনি,5
সন্ধ্যা,1
িনত,3
েন্ডে,2
ান্দা,3
িনা,1
অন্যে,1
আনন্দ,3
নন্দে,2
অন্বে,1
ানক,3
বন্যা,1
মনি,3
উনি,2
জনগ,1
চনে,2
িনে,17
িনই,2
ান্টি,2
জনে,4
ইনম,1
ান্তই,2
িনশ,1
কনো,2
জনপ্র,1
অনা,4
ইনা,1
ইন্টা,1
অন্যদ,2
জনা,1
সন্তা,1
ুনছ,3
ধনা,1
ানট,1
মন্ত্রণ,3
আন্তর,2
নন্দি,2
সনা,3
তন্ময়,1
িন্দু,6
উনত্র,1
মনয,1
রন্ধ্রে,1
পন্যা,1
হনি,1
বন্দি,2
এনে,1
েনা,3
ীনভ,1
ান্তি,5
েনন,5
ননি,6
ুনি,4
ুনা,5
অন্যর,1
ান্তর,4
খনক,2
অন্যক,1
উন্নয়,2
য়নে,1
মনভ,1
োনও,1
েনও,2
ানপ,1
ৈনন্দ,1
সনে,2
অনট,1
টনে,1
এনজ,3
অনি,3
িনট,1
যন্ত্রণ,1
সনস,1
অন্ধক,1
িনগ,1
ানী,4
সনক,1
ুনজ,1
ানন,2
িনব,1
শনি,1
ননী,1
জনস,1
ানব,4
হনও,1
ান্সে,2
েন্টদ,1
রনও,1
বনম,1
ুনশ,1
রন্তর,1
বনক,2
মনপ,1
আনা,1
ান্ত্রি,1
েন্দ্রি,1
ান্তে,5
বনা,4
ানন্দ,1
ইনস্ট,1
মনই,1
িন্দা,1
তনা,1
সনই,1
মনক,1
ুনর্ব,1
ানস,1
অন্ধে,1
কনা,1
তনে,3
িনও,2
মনা,1
ধন্যব,1
চনা,3
আনু,2
আনি,1
গনি,1
জনক,2
বনপ্র,1
েন্ডা,2
ইনে,2
গন্ধে,1
য়না,2
রনো,1
ানক্ষ,1
িনর,1
অনল,1
ীনে,3
োনি,1
ূনত,1
উনা,1
ান্ডে,2
বনও,1
ইনফ,1
িনদ,1
ুনস,1
পনজ,1
অন্যভ,1
মনও,1
তনট,1
আনে,1
বনট,1
িন্তি,1
সন্ন্যা,1
সন্ধা,1
কন্ট্রো,1
ানদ,1
েনো,1
ুনু,1
রনে,1
িনী,1
রন্তন,1
মনো,4
েন্টে,1
ইন্দ্রে,1
ধনস,1
অন্যা,1
ইনশ,1
জনত,1
মন্বয়,1
পন্ডি,1
ানচ্য,1
অন্তর,2
অন্তত,1
য়ন্ত্রন,1
মন্থর,1
অন্তঃ,2
ওনে,1
ান্ড্রে,1
লন্ঠন,1
অন্ত্যজ,1
ান্থ্রা,1
অন্তর্দ্ব,1
অন্তর্হ,1
ানর,1
লনে,1
হনক,1
জনি,1
দনপ,1
ঘনর,1
পনই,1
ুনঃ,5
ঠনে,1
ঘনত্ব,1
মন্দা,1
ুনর,1
জন্মা,1
আনক,1
ননক,1
ীন্দ্রন,1
ঊনপ,1
আন্দো,1
জন্মি,1
য়ন্ত্রণ,1
জন্মগ,1
আপন,6
উপর,3
রপর,3
াপড়,3
ওপা,1
াপদ,1
ুপ্রে,2
অপে,1
িপর্য,2
াপি,2
উপা,6
িপদ,2
নপদ,1
রপা,3
উপস্থ,3
িপো,2
েপা,3
অপর,3
সপ্তা,1
উপদ,2
মপি,3
াপে,4
েপে,1
ংপু,2
াপা,5
কপা,2
ওপে,2
আপড,1
াপো,1
নপ্রি,1
ঁপা,2
াপন,4
ৎপর,1
উপন্য,1
াপু,3
াপট,2
উপশ,1
শপর,1
িপর্ব,1
ণপ্রি,1
টপা,2
াপ্রক,1
নপা,1
াপী,1
ুপু,1
ূপই,1
উপল,3
েপি,1
অপূ,1
ুপচ,1
নপু,1
ৃপক্ষ,1
ীপক্ষ,1
াপম,1
ুপে,1
ূপে,2
ুপি,1
উপক,5
রপে,1
অপচ,1
দপত্র,1
ুপা,2
অপা,2
ূপব,1
উপজ,1
োপন,1
উপহ,1
নপ্রা,1
সপা,1
শপথ,1
ৎপা,1
োপা,1
াপক,1
গপত্র,1
াপত্য,1
ূপা,2
ূপশ,1
োপী,1
তপক্ষ,1
আপ্যা,1
িপক্ষ,1
িপস,1
লপক্ব,1
িপ্রা,1
আপা,1
ীপে,1
ঃপু,2
ৎপল,1
িপ্সা,1
রপু,1
াপ্পা,1
নপত্র,1
ঃপর,2
ঃপ্রক,1
ঃপ্রব,1
ঃপ্রত,1
নপঞ্চ,1
তপো,1
অপক্ষ,1
অপি,1
কপ্রক,1
ুপূ,1
অফি,3
শফু,1
িফি,3
াফল্য,1
ুফু,1
লফি,1
কফি,1
োফা,1
সফল,1
াফা,1
রফর,2
নফর,1
উফ্,1
াফি,4
লফল,1
াফল,1
হবে,2
আবা,3
াবা,12
এবং,1
াবে,37
কবে,5
এবা,1
াবত,3
রবে,6
সবা,3
সবস,1
শব্দে,3
েবে,12
তবে,1
েবল,1
অবস্থ,2
সবচ,1
অবশ্য,2
ীবন,10
াবি,15
লবে,4
সবই,1
ুবই,1
সবু,2
িবী,2
িবে,9
াবী,3
অবি,4
রবা,3
খবর,4
নবে,3
জবু,1
সবে,2
তবু,2
ছবি,2
িবা,11
সবক,1
সবজ,2
আবি,2
সবশ,2
অবা,1
াবল,3
োবা,10
তবা,4
ীবি,2
গবে,1
িবো,1
রবর্ত,2
েবী,3
াবু,2
েব্রু,2
াবহ,1
কবা,4
থবা,1
াবড়,1
ইবা,1
অবল,1
িবু,2
িবর্ধ,1
ইবে,2
অবজ্ঞ,1
খবি,1
োবে,1
েবো,1
সবট,1
কবু,1
আব্বু,2
টবৃ,1
মবে,1
অবশ,2
াবধ,1
াবন,5
ঝবে,1
খবে,1
ঠবে,1
লবু,1
টবে,3
লবি,2
মবা,4
লব্ধি,1
নবা,3
িবর্ত,2
ড়বে,1
লবন,2
রবি,3
িবহ,1
াবছ,3
েবা,4
রবত,1
শবন,1
আবহ,1
াব্বি,1
াবো,1
ুবা,2
লবা,4
অবধ,1
িবছ,1
ুবি,3
াবঞ্চ,1
শব্দট,2
রব্বি,1
ঝবর,1
াবর,1
ুবে,1
আবও,2
ীব্রত,1
কবল,2
ংবর্ধ,1
ংবা,2
ণবত,1
পবত,1
হবু,1
জবা,4
গবা,3
ুবল,1
ড়বা,1
িবি,2
কবি,1
াব্দী,2
অবয়,1
আবছ,1
াবট,2
দবি,1
াব্যা,1
অবস,1
টবল,1
ুব্ধক,1
াবক,1
লব্যে,1
াবড্য,1
অবর্ণ্য,1
িবর্ত্ম,1
ীবহ,1
াবস,1
আবে,1
ষবা,1
লবো,1
সবৃ,1
রবী,1
োবন,1
হবা,1
াব্যগ,1
িভি,2
ীভা,2
এভা,2
োভা,5
ুভব,1
অভা,2
ইভা,2
আভা,1
অভি,9
অভ্যা,2
ুভ্রত,2
ইভি,1
ুভে,2
রভি,1
ওভা,3
নভা,2
াভো,1
িভক্ত,1
িভা,4
সভা,1
লভা,1
অভ্যস্ত,1
ুভূ,2
িভূ,2
গভী,1
াভা,3
ীভৎ,1
ছভর,1
ৌভা,1
িভৎ,1
খভা,1
মভা,1
োভি,1
রভা,1
য়ভা,1
েভা,1
উভয়,1
িভু,1
আমা,8
আমি,3
এমন,5
ুমি,5
োমা,6
সময়,11
োমর,1
ামন,3
সমু,6
সম্ভব,3
সমস্য,3
েমন,4
ামী,6
ামে,7
সমস্ত,1
আমর,1
নমা,1
ামর্শ,2
আম্মা,1
ৌমা,3
হমর্ম,1
েমে,2
আম্মু,2
থমে,3
সম্মা,1
সমা,4
ামা,16
কমল,1
ুমা,4
ুমড়,2
শমি,1
জমি,5
এমপ,3
িমা,4
চমক,1
সম্পর্ক,2
নমে,1
জমা,1
ুমত,1
ামক,2
ুমে,6
ুমট,1
সম্পদ,1
িমন্ত্র,1
ামি,9
কম্পি,1
অম্লা,1
নম্বর,1
সম্পন্ন,1
ড়মো,1
সমচ্চ,1
সম্বি,2
ামল,4
কমত,1
কমই,1
োমল,1
টমি,1
ামব,2
হময়,2
রম্পর,1
অমন,1
ধমক,1
আমল,1
রম্যা,3
ামম,1
মমা,1
রমর,1
রমা,1
চমৎ,1
ূমি,1
ইমে,2
োমে,1
আম্ফা,1
ামু,1
ণমা,1
থমব,1
াম্বা,1
োমু,1
োমব,1
য়মত,1
নমূ,1
গমগ,1
ীমত,1
েমা,1
পমত,1
েম্বর,1
ীমউ,1
কমা,3
িমু,3
থমদ,1
ামত,3
দমক,1
সম্বল,1
শমত,1
ামছ,1
ুমু,1
থমথ,1
উমা,2
য়মক,1
সম্মত,1
ামর্থ্য,1
আমদ,1
জমক,1
োম্পা,1
ামস,2
ামড়,1
জম্বি,2
ামট,1
িমি,1
শমা,1
দম্পত,1
িমে,3
ামভ,1
ীমে,1
রমে,1
িমধ্য,1
অমূ,1
আমন্ত্র,1
লম্বি,1
িম্নম,1
ামগ্র,1
িম্নে,1
াম্পে,1
কমছ,1
সমন্ব,1
সম্প্রদ,2
গমন,1
েম্ব্রে,1
সম্ভ্রম,1
ীমা,1
ামদ,1
জমদ,1
অম্লপ,1
য়মে,1
েমন্ত,1
ণমো,1
সম্বন্ধ,2
